Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	6370713	6366457	6368274	6365447	6375247	6365527	6366828	6362697	6372532	6361813	6376195	6345303
1000	10	6331048	6305485	6316597	6312642	6327646	6313048	6323263	6310847	6326190	6337968	6324212	6327269
1000	100	6233257	6228324	6203425	6208462	6210261	6214086	6206984	6210423	6177504	6294882	6271288	6314477
1000	1000	6146318	6139765	6145836	6142015	6122659	6135736	6116086	6098948	6090158	6239448	6227624	6239083
1001	1	6289511	6297848	6297047	6287886	6288314	6286011	6285169	6297465	6289586	6295193	6292082	6296417
1001	10	6233632	6237642	6246731	6239663	6242908	6218636	6246584	6237804	6246418	6253114	6267735	6249353
1001	100	6156802	6140918	6155587	6164121	6149637	6134052	6117920	6115086	6117509	6220013	6239793	6202932
1001	1000	6078160	6081888	6053197	6071990	6057391	6060650	6030496	6027500	6010149	6168321	6154279	6122468
1002	1	6403588	6396715	6389099	6401524	6391188	6397114	6402490	6400710	6398162	6397569	6392517	6391211
1002	10	6344204	6349053	6328982	6349150	6345925	6343535	6351009	6350565	6354005	6359506	6370901	6376830
1002	100	6255406	6273512	6266738	6255941	6248669	6239793	6240777	6225790	6229401	6324568	6321311	6317827
1002	1000	6186839	6185560	6174236	6172558	6168271	6161998	6152668	6142464	6103244	6252621	6246843	6248694
1003	1	6325365	6323333	6326024	6335281	6333646	6333086	6341257	6340627	6318057	6323387	6329510	6328092
1003	10	6275541	6274943	6270688	6280557	6283345	6278796	6290504	6283072	6267070	6304360	6274512	6303063
1003	100	6178419	6195498	6190587	6168781	6161947	6169385	6171423	6173637	6153061	6233748	6243370	6228073
1003	1000	6105610	6101747	6110184	6090061	6073155	6093408	6057460	6055578	6048954	6206449	6200814	6180220
1004	1	6457255	6445518	6446399	6467708	6456806	6456663	6452540	6457201	6446599	6451538	6458170	6445586
1004	10	6413435	6395013	6390853	6403451	6405292	6393533	6400097	6404909	6404210	6427685	6410136	6418826
1004	100	6340800	6330042	6315471	6306670	6282836	6310464	6290172	6270222	6253758	6384493	6383599	6383494
1004	1000	6234109	6257791	6227249	6211883	6211107	6205692	6191814	6183559	6168992	6324857	6314901	6306148
1005	1	6404705	6415106	6404286	6410591	6404022	6412323	6416709	6401595	6405199	6412224	6402800	6410464
1005	10	6349712	6351347	6366697	6353941	6363482	6355021	6355394	6366985	6358871	6369515	6370917	6377333
1005	100	6278815	6270283	6266865	6268680	6248583	6252689	6233030	6220352	6231829	6326106	6345671	6339319
1005	1000	6216806	6197897	6185692	6165505	6171861	6183708	6159387	6144650	6129759	6266349	6279086	6273332
1006	1	6341015	6338108	6318351	6355556	6358034	6346171	6357193	6355185	6327364	6338302	6353358	6330370
1006	10	6301188	6298255	6287384	6307940	6299404	6297789	6310645	6302366	6293678	6295075	6334378	6328993
1006	100	6220288	6219610	6214949	6196700	6215821	6186260	6182147	6169164	6172154	6289440	6294499	6271378
1006	1000	6130260	6119797	6123457	6120819	6132899	6135959	6113840	6096263	6073848	6221143	6214810	6200215
1007	1	6384903	6379129	6387682	6391167	6393263	6394048	6396293	6396766	6386896	6374038	6384667	6363930
1007	10	6322986	6329553	6338886	6344393	6329855	6316003	6345206	6343458	6334524	6350311	6360723	6353511
1007	100	6234904	6261886	6244731	6236522	6228558	6222068	6230465	6186538	6190841	6310981	6300370	6308805
1007	1000	6173455	6160879	6167936	6150112	6155404	6140088	6128663	6112580	6095357	6251550	6247520	6245816
1008	1	6394741	6370503	6387328	6404489	6408139	6378752	6392594	6409711	6377617	6385128	6393942	6396121
1008	10	6346334	6334364	6334764	6350365	6354543	6340688	6338535	6353660	6329175	6354681	6367336	6372007
1008	100	6252773	6245830	6263236	6247808	6241966	6236236	6222229	6209028	6203924	6303786	6323721	6343893
1008	1000	6190762	6174016	6182629	6157664	6185954	6138596	6161628	6123355	6113913	6266803	6255540	6262107
1009	1	6372502	6370701	6360046	6375035	6357020	6353667	6361000	6364700	6371365	6357203	6381392	6375639
1009	10	6329996	6312559	6314720	6323877	6306604	6310844	6322379	6321662	6324474	6333954	6343971	6342787
1009	100	6253651	6233614	6223201	6227717	6209308	6201583	6201150	6183374	6183531	6294380	6300411	6282754
1009	1000	6161526	6155166	6150976	6121371	6124772	6125302	6119049	6113812	6063785	6237415	6244581	6238193
