Instance	Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)
22	1000000	6052166	6069171	6062048	6050875	6038562
23	100	6282676	6264263	6270361	6251012	6258468
23	1000	6172806	6178854	6157089	6185715	6181053
23	10000	6089218	6087871	6076337	6073324	6055192
23	100000	6011396	6001609	5993536	5991152	5995834
23	1000000	5969797	5975112	5955744	5960624	5969741
24	100	6376155	6409620	6410561	6417545	6426332
24	1000	6315374	6307597	6319568	6310738	6300624
24	10000	6212259	6213208	6196368	6203463	6203234
24	100000	6136948	6132486	6141017	6116523	6131956
24	1000000	6105484	6104041	6085558	6103886	6101340
25	100	6307555	6314035	6290566	6321681	6327613
25	1000	6233900	6230422	6209719	6214371	6203920
25	10000	6122528	6114237	6114586	6102569	6098168
25	100000	6064565	6042343	6040343	6039563	6033349
25	1000000	6005453	6000221	6009539	6003072	5982163
26	100	6359365	6378289	6406940	6378969	6385513
26	1000	6281715	6299417	6291855	6269921	6274425
26	10000	6210499	6212897	6175200	6186896	6180132
26	100000	6115691	6120906	6107648	6118596	6106874
26	1000000	6088374	6067383	6077210	6063893	6070146
27	100	6341766	6355699	6314218	6329486	6345537
27	1000	6235518	6238215	6247130	6244100	6219600
27	10000	6150505	6142686	6138572	6126730	6139575
27	100000	6076576	6082181	6077232	6071309	6063510
27	1000000	6010412	6041066	6047677	6029473	6035016
28	100	6341660	6280838	6307986	6303133	6311051
28	1000	6208625	6207186	6205407	6189400	6210483
28	10000	6128648	6122570	6118799	6114728	6100253
28	100000	6049044	6042558	6057510	6050365	6033044
28	1000000	6016848	6002259	6005263	6005245	5997262
29	100	6278750	6312468	6300506	6294189	6287447
29	1000	6217137	6208422	6216308	6224012	6225105
29	10000	6116860	6113280	6102457	6108883	6091566
29	100000	6043396	6046270	6037493	6023859	6049592
29	1000000	6013290	5983646	5990364	5981266	6001884
30	100	6401684	6427340	6445033	6410563	6411773
30	1000	6337383	6345544	6316828	6328758	6350152
30	10000	6249446	6218717	6255468	6217664	6214066
30	100000	6159940	6172879	6150127	6156377	6168934
30	1000000	6135614	6113091	6114957	6110471	6119595
31	100	6310857	6289263	6295322	6251702	6298605
31	1000	6190057	6204215	6198013	6179210	6193619
31	10000	6106290	6100865	6108662	6089086	6079178
31	100000	6039241	6030237	6019367	6011611	6027736
31	1000000	6008466	5984343	5987812	5988511	5968306
32	100	6438225	6385976	6363463	6376538	6370721
32	1000	6314659	6289245	6267851	6294687	6272258
32	10000	6196338	6189232	6171352	6187232	6174117
32	100000	6125599	6119013	6109480	6103823	6102968
32	1000000	6080598	6072609	6086688	6069842	6070957
33	100	6361029	6377790	6321287	6331449	6321972
33	1000	6261305	6255814	6250562	6240958	6249048
33	10000	6166155	6148828	6159904	6137557	6157787
33	100000	6078904	6077090	6086736	6078988	6062346
33	1000000	6050051	6045138	6052128	6034469	6028921
34	100	6348897	6356956	6371494	6344557	6357351
34	1000	6286421	6227814	6247546	6224480	6255506
34	10000	6159841	6160636	6146677	6139473	6141296
34	100000	6081383	6087580	6109865	6091497	6092613
34	1000000	6065825	6058576	6037912	6056397	6042882
35	100	6321077	6294228	6319794	6326232	6306226
35	1000	6247892	6230848	6213743	6224826	6216501
35	10000	6151071	6125674	6117360	6106077	6108089
35	100000	6070437	6067053	6044924	6057189	6046376
35	1000000	6030952	6031851	6024381	6030155	6009778
