Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	6355989	6362597	6340185	6358411	6360428	6340434	6359622	6351783	6370196	6369022	6367698	6356043
1000	10	6282579	6271301	6274126	6274775	6261840	6268584	6286477	6276603	6287592	6311968	6313547	6313856
1000	100	6155583	6141406	6148663	6143887	6145738	6123062	6136678	6104920	6109640	6250295	6221561	6232961
1000	1000	6082898	6065612	6066828	6075731	6078793	6063769	6052183	6045312	6010219	6183146	6176209	6172920
1001	1	6291796	6286715	6274471	6273948	6289583	6266910	6285922	6288934	6280920	6262518	6266450	6278677
1001	10	6197022	6200899	6194349	6181345	6212660	6183717	6205294	6205488	6205681	6226835	6247483	6227651
1001	100	6060095	6067433	6072450	6052560	6062725	6054884	6041216	6044394	6025922	6187252	6156294	6155383
1001	1000	5981893	5989305	5997173	5982656	5993121	5970626	5967602	5947307	5946897	6119646	6101576	6076040
1002	1	6401592	6379380	6386726	6392585	6386249	6402961	6378538	6397010	6396804	6364980	6384989	6403611
1002	10	6304170	6309086	6292088	6306493	6310399	6312697	6295813	6312004	6314010	6329436	6341317	6325999
1002	100	6186904	6168814	6151418	6186408	6162142	6144792	6140331	6139374	6135929	6293554	6272888	6263834
1002	1000	6095798	6104610	6077920	6122701	6078804	6073401	6061419	6063472	6052376	6256173	6211527	6212386
1003	1	6316631	6329299	6319074	6327840	6315924	6315057	6324901	6327529	6333151	6317827	6322492	6334486
1003	10	6222682	6229769	6240899	6233649	6231341	6247971	6242827	6231037	6256401	6268925	6275019	6266974
1003	100	6121627	6114951	6120604	6096573	6081589	6107258	6080074	6059226	6044822	6203144	6191508	6195181
1003	1000	6039840	6034377	6035692	6020991	6012101	6009141	6002807	5975755	5963820	6163784	6147193	6130178
1004	1	6449392	6438476	6441109	6435754	6449179	6442572	6433409	6447875	6438337	6452852	6443402	6433397
1004	10	6362871	6370048	6356523	6364530	6357146	6365414	6350914	6355782	6362545	6406371	6397338	6377119
1004	100	6242724	6248414	6232692	6220943	6215730	6196791	6205379	6191338	6200045	6341862	6310998	6313991
1004	1000	6140354	6162780	6145686	6135674	6140821	6115126	6108584	6139893	6123232	6249417	6261753	6237331
1005	1	6403637	6388492	6399230	6400465	6412429	6400812	6398795	6409294	6394677	6396940	6401027	6404443
1005	10	6317853	6309511	6312888	6322196	6324585	6320542	6315592	6324276	6320783	6355131	6355377	6349252
1005	100	6188518	6191502	6184416	6172812	6165876	6173080	6140824	6150930	6138469	6280628	6283681	6256192
1005	1000	6105222	6124602	6106860	6109597	6076090	6092911	6080231	6072921	6043019	6224840	6210981	6195597
1006	1	6334385	6314370	6325335	6341429	6332017	6348877	6353762	6338910	6341204	6353489	6331451	6343573
1006	10	6247419	6259640	6255394	6257600	6246867	6264460	6251731	6256654	6266039	6310178	6274530	6306383
1006	100	6140224	6131243	6122310	6136615	6125368	6120215	6089147	6093197	6085335	6234578	6201827	6230566
1006	1000	6066413	6049816	6048095	6049778	6060453	6045553	6019922	6001953	6012791	6191898	6147893	6167518
1007	1	6380902	6377281	6363634	6372288	6379983	6369796	6393253	6346915	6385239	6377765	6374728	6378525
1007	10	6293300	6290692	6286318	6283622	6300950	6280933	6300385	6270511	6289279	6330263	6328941	6325251
1007	100	6170315	6169725	6163175	6154726	6143896	6161062	6122132	6127675	6114121	6266576	6265903	6236583
1007	1000	6083428	6068517	6092023	6088247	6067854	6051835	6047232	6047419	6042338	6204105	6223833	6187574
1008	1	6391251	6369960	6378049	6387980	6387003	6398511	6392876	6389182	6387762	6393401	6402224	6391867
1008	10	6307489	6269946	6299987	6295624	6291379	6314538	6314468	6307001	6311441	6345499	6349166	6317777
1008	100	6192548	6186942	6171707	6170432	6146554	6159244	6146652	6138248	6115446	6265025	6253242	6244379
1008	1000	6102688	6110882	6085500	6095303	6075935	6074094	6050945	6055800	6039226	6229787	6186384	6177605
1009	1	6370055	6359592	6351297	6350884	6364108	6349403	6357815	6356945	6357746	6353814	6372264	6352092
1009	10	6282979	6266445	6276381	6276058	6257670	6265291	6274289	6284570	6279586	6327522	6313636	6296904
1009	100	6171298	6137752	6147459	6138880	6142565	6131798	6122162	6110148	6094749	6245779	6207282	6239062
1009	1000	6075396	6054595	6059624	6063612	6066544	6047025	6038947	6041319	6032406	6164381	6169819	6173592
