MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6369919.00	6371681.78	6371149.22	6367180.78	6368575.44	6372632.56	6366591.33	6374200.56	6372057.67	6369237.56	6366528.11	6372958.67
10	6300164.22	6304620.11	6301212.33	6299824.56	6302391.00	6301045.33	6297892.44	6307208.22	6303543.33	6329484.11	6328711.44	6331380.78
100	6204018.33	6195336.11	6193242.78	6180623.78	6181774.11	6172161.56	6164111.22	6151480.44	6143577.67	6274088.78	6273753.33	6271699.89
1000	6118269.67	6110108.56	6107143.22	6105241.44	6099096.78	6090225.33	6083937.78	6072304.22	6054319.44	6222383.44	6213325.67	6204976.78

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	49893.91	50355.82	48327.73	48419.48	51065.48	45936.54	50784.48	47627.63	46837.97	49156.25	60498.76	48446.24
10	48314.17	49219.56	46194.34	49656.51	50214.48	45499.34	45447.58	46680.06	52068.96	52693.45	54707.63	45114.58
100	50061.81	54345.46	46527.85	45640.61	47377.37	45967.46	46559.05	44901.11	52631.52	48082.59	48283.86	42830.86
1000	47932.29	53256.84	47738.42	48897.20	47960.76	50099.71	46955.33	48203.16	48943.96	50157.19	49281.33	44151.74
