Instance	Generations	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	1	36	36	35	36	36	36	36	35
1	10	35	35	35	36	36	35	35	35
1	100	35	35	35	35	35	35	35	35
1	1000	35	35	35	35	35	35	35	35
1	10000	35	35	34	34	34	34	34	35
2	1	36	35	36	36	36	36	36	36
2	10	35	35	35	36	36	35	35	36
2	100	35	35	35	35	35	35	35	35
2	1000	35	35	35	35	35	34	35	35
2	10000	35	34	35	35	34	34	34	35
3	1	36	36	36	36	36	36	36	36
3	10	36	36	36	35	35	35	36	35
3	100	35	35	35	35	35	35	35	35
3	1000	35	35	35	35	35	35	35	35
3	10000	35	35	35	35	35	34	34	35
4	1	36	36	36	36	36	36	36	36
4	10	36	35	36	35	35	36	36	36
4	100	35	35	35	35	35	35	35	35
4	1000	35	35	35	35	35	35	35	35
4	10000	35	35	35	35	35	34	34	35
5	1	36	36	36	36	36	36	36	36
5	10	35	36	35	35	35	35	36	36
5	100	35	35	35	35	34	35	35	35
5	1000	35	35	35	35	34	35	35	35
5	10000	35	34	35	35	34	34	34	35
6	1	35	36	36	36	36	36	36	36
6	10	35	36	36	36	36	36	36	36
6	100	35	35	35	35	35	35	35	35
6	1000	35	35	35	35	35	34	35	35
6	10000	35	35	35	35	35	34	35	35
7	1	36	36	36	36	36	36	35	36
7	10	36	35	35	36	36	36	35	35
7	100	35	35	35	35	35	35	35	35
7	1000	35	35	35	35	35	35	35	35
7	10000	35	35	35	34	35	35	34	35
8	1	35	36	36	36	36	36	36	36
8	10	35	35	36	35	36	36	36	35
8	100	35	35	35	35	35	35	35	35
8	1000	35	35	34	35	34	34	35	35
8	10000	35	35	34	35	34	34	34	35
9	1	36	36	36	36	36	36	36	36
9	10	35	35	36	36	36	35	35	36
9	100	35	35	35	35	35	35	35	35
9	1000	35	35	35	35	35	35	35	35
9	10000	35	35	35	35	35	35	34	35
10	1	36	36	36	36	36	36	36	36
10	10	36	36	35	35	35	36	35	36
10	100	35	35	35	35	35	35	35	35
10	1000	35	35	35	35	35	35	35	35
10	10000	35	34	34	35	34	35	34	35
11	1	36	36	36	36	36	36	36	36
11	10	35	35	36	36	36	35	35	36
11	100	35	35	35	35	35	35	35	35
11	1000	35	35	35	35	35	34	35	35
11	10000	35	35	35	35	35	34	35	35
12	1	36	36	36	36	36	36	36	36
12	10	35	36	35	36	36	36	36	36
12	100	35	35	35	35	35	35	35	35
12	1000	35	35	35	35	35	35	35	35
12	10000	35	35	35	35	35	34	34	35
13	1	36	36	36	36	36	36	36	36
13	10	35	36	36	36	36	35	35	36
13	100	35	35	35	35	35	35	35	35
13	1000	35	35	35	35	35	35	35	35
13	10000	35	35	35	35	35	34	34	35
14	1	36	36	36	36	36	36	36	36
14	10	35	36	36	36	36	35	35	35
14	100	35	35	35	35	35	35	35	35
14	1000	35	35	35	35	35	34	35	35
14	10000	35	35	34	34	35	34	34	35
15	1	36	36	36	36	36	36	36	35
15	10	35	36	35	36	36	36	36	35
15	100	35	35	35	35	35	35	35	35
15	1000	35	35	35	35	35	35	35	35
15	10000	35	35	35	35	35	34	34	35
16	1	36	36	36	36	36	36	36	36
16	10	36	35	36	36	36	35	36	36
16	100	35	35	35	35	35	35	35	35
16	1000	35	35	35	35	35	34	35	35
16	10000	35	35	35	35	35	34	35	35
17	1	36	36	36	36	36	36	36	35
17	10	36	35	35	36	35	35	36	35
17	100	35	35	35	35	35	35	35	35
17	1000	35	35	35	35	35	35	34	35
17	10000	35	35	34	35	34	34	34	35
18	1	36	36	36	36	36	36	36	36
18	10	36	36	36	36	35	36	35	36
18	100	35	35	35	35	35	35	35	35
18	1000	35	35	35	35	35	34	35	35
18	10000	35	34	34	35	35	34	34	35
19	1	36	36	36	36	36	36	36	36
19	10	35	36	35	35	36	36	36	36
19	100	35	35	35	35	35	35	35	35
19	1000	35	35	35	35	35	35	35	35
19	10000	35	35	35	35	35	34	34	35
20	1	36	35	36	36	36	36	36	36
20	10	36	35	36	36	36	35	36	36
20	100	35	35	35	35	35	35	35	35
20	1000	35	35	35	35	35	34	35	35
20	10000	35	35	34	35	35	34	34	35
21	1	35	36	36	36	36	36	36	36
21	10	35	36	35	36	36	35	35	36
21	100	35	35	35	35	35	35	35	35
21	1000	35	35	35	35	35	35	35	35
21	10000	35	35	34	34	35	35	34	35
22	1	36	36	36	36	36	36	36	36
22	10	35	36	36	36	36	36	36	36
22	100	35	35	35	35	35	35	35	35
22	1000	35	35	35	35	35	35	35	35
22	10000	35	35	35	35	35	34	34	35
23	1	36	36	36	36	36	35	36	36
23	10	35	36	36	35	35	35	36	36
23	100	35	35	35	35	35	35	35	35
23	1000	35	35	35	35	35	35	35	35
23	10000	35	35	35	35	34	34	35	35
24	1	36	36	36	36	36	36	36	36
24	10	36	36	36	36	36	36	35	36
24	100	35	35	35	35	35	35	34	35
24	1000	35	35	35	35	35	35	34	35
24	10000	35	35	35	35	35	35	34	35
25	1	36	36	36	36	36	36	36	36
25	10	36	36	35	36	36	36	36	36
25	100	35	35	35	35	35	35	35	35
25	1000	35	35	35	35	35	35	35	35
25	10000	35	35	34	35	35	34	34	35
26	1	36	36	36	36	36	36	36	36
26	10	36	36	36	36	35	36	36	36
26	100	35	35	35	35	35	35	35	35
26	1000	35	35	35	35	35	35	35	35
26	10000	35	35	35	35	35	34	34	35
27	1	36	36	36	36	36	36	35	36
27	10	35	36	36	35	35	36	35	35
27	100	35	35	35	35	35	35	35	35
27	1000	35	35	35	35	35	34	35	35
27	10000	35	35	35	34	35	34	34	35
28	1	35	36	36	36	36	36	36	36
28	10	35	36	36	35	36	35	36	35
28	100	35	35	35	35	35	35	35	35
28	1000	35	35	35	35	35	34	34	35
28	10000	34	35	35	35	34	34	34	35
29	1	36	36	36	36	36	36	36	36
29	10	35	36	35	35	36	36	35	35
29	100	35	35	35	35	35	35	35	35
29	1000	35	35	35	35	35	35	35	35
29	10000	35	35	35	35	34	34	34	35
30	1	36	36	36	36	35	36	36	36
30	10	36	36	36	35	35	36	36	36
30	100	35	35	35	35	35	35	35	35
30	1000	35	35	35	34	35	35	35	35
30	10000	35	35	35	34	35	34	34	34
