MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6368324.78	6370089.67	6367486.33	6367618.89	6369901.44	6364376.44	6366080.56	6371622.22	6370609.67	6366101.78	6367806.33	6369134.67
10	6298517.33	6300987.44	6298338.00	6292005.11	6295574.78	6295942.78	6296244.78	6300522.78	6303307.44	6328384.00	6323634.33	6328699.56
100	6193976.22	6191987.22	6185901.33	6178726.11	6172808.56	6167235.11	6154081.11	6140490.11	6134060.33	6273804.44	6257160.89	6257410.56
1000	6111773.56	6105290.00	6104505.56	6099233.89	6094433.44	6084944.67	6070301.11	6058727.11	6051856.89	6223613.56	6202261.44	6198720.00

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	49486.63	46493.63	50015.21	50932.89	45141.07	44365.90	42780.34	52045.07	46911.96	47811.35	40505.50	48245.93
10	48463.54	44526.16	48590.93	45370.32	44336.72	42892.88	41413.96	52110.99	46247.36	46611.06	46005.95	47846.78
100	49809.42	48172.49	50916.68	44833.39	47570.51	51161.13	51646.10	45924.63	47709.07	49255.28	49266.64	51622.30
1000	51449.34	46236.93	48417.97	43685.66	47208.78	49152.34	47175.42	47570.44	47624.73	56730.90	44320.59	48631.27
