Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	6361176	6356673	6342596	6343401	6371413	6357825	6367428	6369575	6362711	6367840	6351055	6338308
1000	10	6293050	6277310	6275669	6277767	6288486	6273309	6292530	6295346	6288377	6299127	6319473	6310660
1000	100	6176180	6175530	6161092	6153325	6142352	6138742	6144833	6134898	6129165	6265528	6241469	6221988
1000	1000	6085341	6082193	6066486	6080585	6063885	6059198	6057976	6058568	6030785	6191304	6185122	6182962
1001	1	6286473	6286349	6285128	6282691	6285434	6290247	6277925	6275284	6295869	6281129	6282436	6286076
1001	10	6207210	6217101	6193665	6213912	6205641	6204202	6202587	6195148	6218076	6252553	6247443	6240851
1001	100	6095003	6095360	6088053	6082208	6075519	6082193	6057758	6061757	6052498	6165804	6151048	6156333
1001	1000	6013044	6006767	6005214	5993105	6021681	5994655	5972209	5978165	5963042	6113115	6119520	6108043
1002	1	6392765	6391759	6397622	6399763	6367511	6408603	6398385	6399505	6404042	6377361	6397096	6395417
1002	10	6324410	6313887	6319982	6318648	6313381	6320763	6319426	6320731	6334125	6342852	6355067	6338472
1002	100	6221569	6209373	6206177	6196942	6186472	6180674	6174430	6156119	6147730	6308394	6272505	6271908
1002	1000	6129363	6125395	6092805	6105028	6113501	6092332	6062676	6073372	6070504	6231161	6216121	6195088
1003	1	6330249	6313136	6325167	6336855	6314457	6324932	6315548	6325091	6327804	6324463	6323636	6327701
1003	10	6241630	6240280	6254349	6247999	6259904	6246450	6246852	6239953	6259549	6287402	6259489	6278770
1003	100	6126781	6126144	6130447	6127740	6104653	6102976	6100172	6076344	6083834	6230229	6200021	6190040
1003	1000	6052529	6054419	6043022	6046287	6034743	6030129	6024244	6008171	6002457	6179070	6137307	6149214
1004	1	6431294	6442869	6444370	6442580	6442902	6428902	6458278	6451631	6462080	6436374	6423926	6437995
1004	10	6364039	6370629	6360702	6358848	6380770	6352539	6372838	6382654	6386179	6390552	6393787	6394474
1004	100	6246665	6256985	6246025	6248503	6232188	6217257	6219398	6216762	6182803	6337196	6314690	6336207
1004	1000	6154301	6178650	6156415	6160282	6147275	6134681	6132868	6128127	6119338	6264245	6251849	6266047
1005	1	6405442	6407965	6373768	6406285	6410197	6404495	6393340	6400313	6396899	6382287	6399548	6406245
1005	10	6299802	6316805	6316063	6322143	6314176	6317462	6321927	6324073	6335381	6362510	6354866	6372728
1005	100	6197276	6195741	6209706	6203089	6187343	6181204	6162091	6156589	6150513	6309493	6290816	6288331
1005	1000	6127289	6125658	6112446	6130810	6099237	6117800	6089848	6065589	6075088	6240633	6243943	6220617
1006	1	6329309	6336322	6342462	6332669	6348909	6349816	6342992	6347701	6347353	6348459	6342050	6351567
1006	10	6265996	6263280	6277256	6262833	6266731	6271631	6268063	6267776	6282988	6316190	6281100	6298729
1006	100	6149416	6143374	6155010	6155057	6136516	6134481	6122142	6106580	6099360	6251852	6224867	6228798
1006	1000	6084687	6062690	6074626	6060811	6067009	6064197	6040066	6020379	6032975	6194883	6144386	6150559
1007	1	6360780	6380319	6379937	6377193	6375401	6377530	6374840	6360172	6379352	6389912	6380551	6381188
1007	10	6291448	6301255	6301845	6294930	6300785	6297377	6304513	6285781	6297929	6345913	6321815	6327711
1007	100	6182879	6189961	6182906	6174820	6155861	6159752	6168468	6151286	6116232	6265887	6259285	6256768
1007	1000	6108605	6099084	6103935	6084843	6092210	6084323	6076185	6063673	6030562	6224102	6206713	6200951
1008	1	6396672	6383970	6392685	6380558	6381502	6383509	6393458	6395185	6398071	6382075	6382808	6357324
1008	10	6313755	6311258	6308365	6295205	6271558	6308116	6310940	6302078	6328609	6347516	6341332	6335583
1008	100	6205173	6199272	6191301	6192740	6182968	6175869	6172155	6139552	6129005	6291787	6286513	6284899
1008	1000	6123902	6104307	6106324	6109787	6105127	6076045	6102323	6080489	6033925	6246205	6192290	6214854
1009	1	6368542	6353576	6363488	6367032	6365057	6353075	6347592	6344660	6376738	6357821	6368006	6351687
1009	10	6288968	6274558	6285519	6294006	6264565	6280540	6268901	6268840	6298711	6323992	6308585	6309146
1009	100	6174975	6165870	6168529	6164622	6159556	6148924	6114075	6139971	6100242	6261885	6242819	6251958
1009	1000	6084732	6100443	6077429	6067211	6092959	6059429	6052547	6050434	6036821	6199963	6206580	6202464
