Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	6345449	6335470	6360852	6359183	6358334	6366108	6360763	6366708	6360422	6361468	6354765	6354876
1000	10	6278714	6285705	6298383	6285299	6298756	6289499	6270048	6294549	6291419	6342977	6322049	6303736
1000	100	6188699	6163140	6175560	6152613	6173508	6161628	6142234	6141410	6134759	6253256	6240472	6242150
1000	1000	6112747	6091784	6079628	6085396	6091210	6071946	6079070	6048698	6036379	6229527	6198908	6196096
1001	1	6273882	6290365	6287134	6269180	6289489	6287354	6294115	6261852	6273261	6286262	6301029	6287907
1001	10	6209778	6216908	6215761	6213249	6216550	6218563	6225828	6199403	6218215	6249196	6235378	6232713
1001	100	6105070	6100920	6088126	6105749	6083629	6074492	6063785	6061227	6047410	6189848	6171514	6159100
1001	1000	6017091	6019157	6023023	6025406	6001902	5999816	5977006	5978554	5964663	6113971	6126919	6110112
1002	1	6402429	6399852	6382507	6396681	6382418	6366517	6394081	6402164	6403910	6391897	6384455	6398864
1002	10	6326933	6335029	6326930	6317040	6316803	6304254	6322505	6320385	6327697	6342180	6346780	6354362
1002	100	6227734	6218225	6208997	6193179	6205356	6188851	6194878	6166951	6144415	6297457	6281493	6300812
1002	1000	6134822	6136476	6132631	6128427	6105942	6096759	6106432	6086249	6069813	6261382	6234048	6233248
1003	1	6325253	6312239	6304991	6339143	6334698	6329305	6323221	6338034	6332718	6316027	6321778	6319872
1003	10	6263408	6259768	6236732	6257381	6259156	6257489	6255331	6260238	6258195	6277565	6286823	6285523
1003	100	6130661	6150705	6132154	6137482	6121392	6118720	6105971	6094811	6095602	6206472	6190894	6206422
1003	1000	6048531	6054356	6043254	6054420	6058967	6044190	6036232	6007645	5999961	6171627	6162489	6156122
1004	1	6439807	6431354	6450509	6455089	6444364	6438304	6436738	6448933	6432072	6435528	6427956	6448625
1004	10	6378898	6364665	6369263	6365307	6371827	6365308	6363770	6385503	6374110	6402731	6397940	6391085
1004	100	6268668	6250564	6260901	6252343	6237657	6248322	6238740	6209730	6218521	6327729	6331564	6323317
1004	1000	6191554	6175688	6183535	6170654	6169171	6181765	6140545	6129162	6122998	6305016	6275940	6268909
1005	1	6410988	6417930	6401765	6402586	6414581	6394610	6397644	6399262	6399163	6413410	6396844	6402742
1005	10	6336932	6333886	6333663	6329722	6323819	6327649	6323325	6333372	6339581	6372435	6362138	6367107
1005	100	6219300	6248071	6218717	6219747	6197353	6208561	6184007	6169761	6153191	6324280	6290863	6297741
1005	1000	6127109	6134288	6125596	6130989	6128894	6088574	6098852	6090986	6090575	6268920	6216760	6246160
1006	1	6353451	6349307	6348129	6348302	6348301	6332624	6352194	6355727	6356914	6333281	6346512	6340982
1006	10	6280929	6282116	6275873	6270561	6269999	6273797	6275892	6279143	6281574	6307691	6314252	6308038
1006	100	6182053	6178923	6165661	6150785	6147488	6140742	6137888	6116694	6114924	6246183	6246511	6238169
1006	1000	6108031	6096770	6084530	6079353	6071623	6068563	6057770	6027010	6033027	6200145	6173113	6175468
1007	1	6355961	6376021	6372823	6369945	6365256	6381989	6378492	6387760	6371810	6364618	6385896	6371579
1007	10	6297004	6304895	6304361	6293953	6296370	6302541	6310234	6307334	6306053	6335994	6332446	6343747
1007	100	6200986	6190123	6199378	6183371	6179733	6186414	6167828	6148322	6146797	6294992	6268824	6262936
1007	1000	6118960	6100884	6121710	6093127	6112461	6105619	6085272	6073714	6063493	6240878	6216632	6204587
1008	1	6386910	6384070	6397817	6371774	6388391	6392825	6373416	6387181	6398699	6390501	6394995	6389544
1008	10	6313958	6319564	6323585	6314657	6315710	6324121	6310326	6325641	6323877	6346553	6322326	6351826
1008	100	6213099	6218711	6206299	6204208	6202832	6178296	6163945	6174893	6164434	6297562	6268306	6282940
1008	1000	6143263	6119464	6117481	6118393	6110102	6098371	6080359	6089046	6073458	6230909	6225956	6209253
1009	1	6366242	6369669	6361702	6355870	6361615	6355860	6344824	6363687	6366940	6363392	6350792	6362097
1009	10	6278816	6292056	6298874	6266176	6289939	6289763	6278992	6293686	6300465	6321111	6314626	6323895
1009	100	6198215	6171643	6192879	6161671	6179837	6160718	6129688	6122022	6121249	6279717	6264479	6245258
1009	1000	6116601	6110527	6108790	6092336	6090839	6080845	6050242	6046178	6048724	6219674	6188496	6184621
