Instance	Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
73	100000	6157112	6153450	6141227	6111307	6108514	6083522	6080923	6251448	6246532	6258409
73	1000000	6109707	6106896	6100930	6086215	6067884	6058203	6035016	6237668	6206523	6201646
74	100	6394763	6398211	6397087	6400223	6381912	6399330	6403109	6424313	6439833	6423370
74	1000	6317426	6333949	6299159	6303771	6296727	6294165	6278705	6370762	6393844	6397455
74	10000	6262223	6250880	6210226	6216309	6230981	6200452	6192747	6356687	6346191	6342745
74	100000	6175287	6193493	6148396	6136534	6132851	6134225	6105334	6292701	6281643	6281630
74	1000000	6127094	6120259	6121107	6116443	6110703	6102166	6079451	6253774	6248499	6236569
75	100	6401410	6391940	6399716	6383545	6389987	6349835	6362293	6423676	6423609	6392926
75	1000	6323113	6324967	6297608	6308338	6304667	6296138	6268940	6405098	6411470	6367144
75	10000	6233002	6232435	6223821	6213066	6185684	6184184	6195912	6351661	6305166	6320610
75	100000	6182500	6160962	6150579	6154437	6142593	6128066	6108920	6307608	6266639	6264408
75	1000000	6134752	6129902	6125945	6098894	6096863	6078551	6069271	6269887	6218830	6205733
76	100	6362397	6366164	6343857	6341710	6357878	6379569	6313163	6406237	6406664	6386408
76	1000	6274796	6287895	6287645	6266986	6244898	6271619	6263774	6357921	6374377	6343302
76	10000	6206378	6208969	6195635	6192194	6180639	6171282	6150946	6327775	6307746	6311102
76	100000	6126701	6147424	6144327	6127583	6109805	6103947	6105953	6254835	6228225	6224945
76	1000000	6094731	6096278	6078372	6072688	6068455	6044728	6040120	6235437	6206280	6197709
77	100	6416336	6409142	6434401	6430149	6434743	6408810	6391756	6444743	6464593	6450812
77	1000	6353337	6360439	6330493	6338199	6326396	6314885	6306451	6431839	6416897	6430274
77	10000	6267982	6276728	6242375	6253262	6232593	6226794	6201556	6365956	6350034	6340631
77	100000	6202023	6204174	6174052	6192948	6157630	6166550	6161706	6315155	6281787	6320737
77	1000000	6152258	6146053	6157779	6146426	6137209	6122229	6091088	6274467	6252226	6268548
78	100	6339466	6316544	6327264	6319146	6311651	6336261	6338049	6348264	6366689	6377427
78	1000	6265337	6254455	6255771	6246076	6231494	6234339	6211039	6332728	6336705	6325507
78	10000	6193866	6170593	6173108	6149343	6144286	6131939	6131247	6295137	6285277	6277944
78	100000	6114390	6110681	6094391	6066373	6075851	6068539	6050698	6227361	6210389	6181222
78	1000000	6068945	6049034	6064584	6043748	6052156	6024460	6032371	6203121	6175196	6149616
79	100	6459079	6476281	6442644	6478034	6453996	6483375	6414947	6513806	6487033	6491191
79	1000	6373128	6361225	6357853	6353878	6345257	6334784	6331878	6462443	6427487	6454537
79	10000	6292976	6289518	6275454	6275476	6265534	6247045	6237447	6388433	6380593	6374177
79	100000	6225580	6222087	6219335	6190768	6194118	6188629	6177625	6364647	6297000	6308918
79	1000000	6179899	6179717	6169416	6159468	6163801	6154670	6133550	6316606	6265841	6275572
80	100	6283854	6289769	6320769	6278015	6285046	6278998	6275885	6336813	6340616	6328929
80	1000	6231203	6245666	6197481	6192868	6204219	6173963	6184682	6301928	6298122	6299519
80	10000	6141045	6135656	6149700	6136500	6091506	6099621	6089672	6226537	6221013	6247010
