MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6362764.00	6367115.89	6359125.56	6364078.67	6365952.11	6363083.22	6362445.11	6369927.78	6370692.44	6362541.67	6365114.44	6364816.56
10	6279944.44	6276723.00	6272229.11	6279070.11	6281270.44	6277930.11	6278420.33	6282188.33	6285660.00	6318277.78	6314641.22	6309857.78
100	6156349.56	6142246.78	6145547.67	6135522.33	6134695.78	6128808.89	6120190.67	6103098.78	6091667.89	6250478.22	6231153.22	6226786.22
1000	6069955.44	6063227.00	6064347.22	6057630.44	6060132.00	6048637.56	6045348.56	6034457.44	6026499.33	6204533.11	6183123.56	6177812.78

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	48650.37	45307.60	45705.99	50459.49	45352.77	52577.34	44994.17	46986.57	46885.78	39542.39	47932.52	45266.46
10	43775.33	48680.19	44624.88	49503.36	48421.95	50828.55	48979.68	49050.03	44199.86	44048.32	41410.34	52719.43
100	46085.72	40631.30	46310.69	45601.23	40558.24	45357.79	41744.25	45210.19	46260.22	45008.94	53846.09	47714.70
1000	54820.97	50077.23	47505.29	49408.82	48493.33	50852.23	48146.79	49199.08	50319.90	51905.29	45853.38	46876.13
