MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6373173.11	6372205.56	6371398.00	6369743.67	6371450.22	6375679.78	6370330.67	6372690.22	6371114.78	6372646.89	6367692.11	6369154.00
10	6317295.89	6315512.78	6315398.33	6312830.11	6310770.33	6311681.56	6312209.11	6315995.56	6321077.56	6344054.89	6335359.22	6332685.44
100	6232554.11	6222486.22	6219033.11	6214196.22	6207942.00	6199364.44	6194749.44	6180949.89	6169614.89	6297767.44	6290608.22	6295291.44
1000	6155548.22	6149510.00	6139717.22	6143197.33	6137644.78	6125805.33	6113568.67	6092725.89	6081500.67	6241869.33	6226148.67	6225969.22

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	45671.33	51753.73	46989.40	49001.35	45236.52	47220.16	45335.68	51991.08	51013.17	52310.20	42895.60	40839.96
10	46815.96	47914.92	46736.68	49220.96	45673.98	48861.57	44593.30	49196.60	49371.18	50379.17	45706.89	46468.98
100	43971.12	48127.30	45460.42	45411.20	42123.17	46021.44	42485.06	43737.24	50308.16	50958.91	47613.65	42938.23
1000	44440.54	45821.10	44701.18	48725.83	47957.09	50479.27	43769.06	44034.70	50861.41	50353.18	55575.98	53078.92
