Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	6362572	6357866	6352946	6359111	6363951	6355921	6371308	6355186	6363489	6355520	6360927	6351229
1000	10	6288765	6291462	6276906	6286366	6282574	6278347	6281239	6282354	6288174	6317177	6315226	6312488
1000	100	6158805	6159290	6152808	6162170	6143946	6115966	6138881	6122854	6100569	6258222	6232786	6234514
1000	1000	6084678	6054948	6082507	6078385	6054726	6038986	6060798	6044463	6024809	6206269	6181332	6179419
1001	1	6273681	6290188	6291943	6281254	6288851	6288182	6297631	6291155	6288838	6282184	6285993	6276904
1001	10	6210293	6200378	6201622	6198224	6210506	6210590	6204131	6202589	6210691	6223235	6249726	6230733
1001	100	6085323	6101474	6072643	6091519	6068936	6065722	6073527	6042466	6028123	6183621	6166506	6169360
1001	1000	6023076	6017879	6011027	5992685	6003694	5997659	5968349	5967960	5961459	6119906	6117485	6099783
1002	1	6395160	6402224	6393115	6391748	6390177	6389781	6391363	6402688	6404293	6394962	6387759	6389575
1002	10	6307578	6323839	6311725	6306552	6313960	6316447	6309988	6315680	6320141	6361729	6338444	6348811
1002	100	6193261	6201500	6179795	6190216	6184658	6166732	6151682	6157234	6124959	6292504	6277833	6264995
1002	1000	6100796	6108242	6098792	6106673	6099647	6088573	6064501	6066846	6049999	6228571	6205367	6230171
1003	1	6315486	6330406	6324788	6318746	6325016	6342006	6332899	6327768	6322070	6305595	6327720	6324247
1003	10	6221824	6261358	6228450	6244429	6235640	6243516	6249910	6238201	6236627	6270583	6272504	6270643
1003	100	6108655	6139724	6125384	6128477	6126188	6115195	6086121	6080797	6067021	6229513	6194687	6203583
1003	1000	6048380	6047719	6055521	6023521	6025046	6029339	5994121	5994216	5993077	6170285	6140496	6140394
1004	1	6432970	6442671	6434776	6441147	6453820	6445827	6433925	6452749	6451511	6451437	6439632	6444357
1004	10	6363627	6355645	6362930	6367967	6371344	6358221	6347040	6381812	6357314	6383276	6384303	6381130
1004	100	6259838	6240968	6228065	6231521	6242696	6225206	6201760	6196360	6199877	6347040	6314350	6320877
1004	1000	6168780	6172528	6158724	6148424	6133202	6153642	6138845	6115233	6112956	6287964	6268546	6258215
1005	1	6402510	6403154	6406895	6407661	6396385	6411026	6401418	6411033	6412047	6397958	6403353	6379596
1005	10	6329490	6326967	6338756	6330237	6317903	6327705	6327061	6328577	6327542	6369013	6340269	6345194
1005	100	6202475	6193084	6214324	6200502	6173316	6153440	6159469	6158518	6164784	6305264	6283126	6270719
1005	1000	6126561	6116060	6099019	6094626	6104944	6095586	6070512	6098129	6073016	6241041	6241540	6202576
1006	1	6343682	6354677	6319001	6347799	6339354	6326429	6348480	6347067	6349686	6343966	6343393	6330647
1006	10	6259199	6278131	6252863	6272714	6258632	6248808	6260961	6267484	6274640	6301108	6296610	6301401
1006	100	6137890	6146674	6140034	6137727	6137514	6118130	6127858	6102240	6103738	6245279	6228501	6236912
1006	1000	6079274	6064457	6063954	6035995	6046343	6035070	6046525	6022340	5994044	6175483	6174133	6169074
1007	1	6383847	6363218	6380276	6375889	6364828	6383481	6362989	6381054	6383176	6386315	6373456	6350412
1007	10	6289364	6287883	6292427	6277964	6277726	6290211	6299875	6300379	6311477	6342786	6326833	6322526
1007	100	6188477	6183327	6174450	6156900	6168372	6159795	6152092	6152483	6105626	6283119	6277969	6257042
1007	1000	6099548	6074274	6098561	6082300	6082691	6049787	6067390	6062251	6049990	6230374	6201817	6173809
1008	1	6378071	6389126	6396756	6382230	6376089	6377406	6389237	6377713	6387215	6378261	6402149	6394210
1008	10	6291105	6316857	6308918	6296015	6312213	6307673	6300517	6302053	6311565	6340744	6346843	6344041
1008	100	6196040	6196158	6170713	6173859	6166481	6171302	6156007	6143131	6134089	6285494	6239498	6259001
1008	1000	6098811	6116979	6081744	6098796	6086271	6082771	6104745	6077204	6059847	6215507	6209730	6208333
1009	1	6347099	6350263	6372258	6362406	6350975	6361150	6362454	6363534	6361351	6365227	6372398	6360302
1009	10	6280388	6280044	6300676	6302988	6274106	6281445	6279011	6280867	6282016	6318851	6320799	6320712
1009	100	6166972	6166124	6163704	6155456	6173565	6155152	6133731	6140791	6111544	6259266	6253036	6233717
1009	1000	6083304	6090348	6086231	6060342	6066323	6065003	6049631	6046176	6041552	6196369	6183251	6180952
