Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	6346785	6351964	6362381	6358953	6347436	6364590	6359415	6354287	6359294	6355418	6358055	6354138
1000	10	6267315	6276003	6265288	6267682	6273289	6277725	6271578	6255186	6273381	6303255	6303147	6301759
1000	100	6134103	6133140	6136071	6130521	6106789	6120683	6105488	6103123	6085337	6222359	6205119	6221711
1000	1000	6067015	6065877	6073151	6045008	6053884	6038123	6030412	6003271	6021751	6192060	6160843	6170359
1001	1	6279559	6292521	6287333	6271517	6288970	6272643	6284617	6287291	6284661	6295349	6280311	6293157
1001	10	6202960	6205673	6198267	6191830	6197627	6190466	6193026	6190798	6208177	6247162	6249593	6226033
1001	100	6085534	6072141	6063209	6065704	6056907	6046342	6051023	6024270	6002727	6180771	6124722	6132708
1001	1000	5980367	5984550	5981096	5952590	5977289	5959622	5964649	5950152	5939131	6115068	6096561	6093790
1002	1	6390023	6394340	6402219	6385552	6384513	6400861	6380589	6403224	6395169	6403520	6392497	6389222
1002	10	6310536	6295291	6300385	6302998	6307652	6313913	6297592	6316974	6317040	6334457	6342468	6342170
1002	100	6188138	6156818	6178102	6148755	6147004	6152318	6130993	6132171	6107170	6265077	6247166	6261547
1002	1000	6081517	6108852	6069933	6079583	6084160	6072461	6072494	6061008	6066416	6260234	6186748	6204860
1003	1	6320372	6326375	6320522	6324268	6309477	6309769	6332555	6324722	6328578	6315371	6321676	6318733
1003	10	6239695	6222631	6228636	6230189	6227783	6225059	6234222	6243066	6239313	6266522	6270637	6245330
1003	100	6105424	6110758	6100252	6090201	6096136	6093312	6078332	6052510	6050398	6215958	6173524	6192195
1003	1000	6015081	6016821	6018763	6028593	6014136	6005263	5997673	5978655	5970849	6169472	6145632	6141290
1004	1	6441807	6443657	6436735	6442500	6435976	6445848	6441082	6453131	6440643	6415152	6432499	6442032
1004	10	6346185	6366435	6346218	6360406	6357005	6358407	6363284	6367096	6354281	6391880	6377035	6378370
1004	100	6239395	6213187	6222167	6221775	6202003	6199299	6200214	6175020	6170874	6325019	6304115	6286094
1004	1000	6178229	6143579	6145526	6127502	6145007	6126553	6133862	6111334	6099410	6277950	6265289	6252043
1005	1	6378689	6393414	6376350	6402761	6395326	6386918	6394502	6393255	6403407	6394873	6403331	6400192
1005	10	6306548	6306646	6291393	6309847	6319145	6304529	6307965	6304226	6306053	6352361	6355350	6360465
1005	100	6164832	6173430	6168763	6169553	6151475	6158539	6141918	6129408	6121296	6289759	6274432	6265808
1005	1000	6089162	6090046	6100875	6076950	6094167	6091704	6066261	6075297	6064529	6240518	6193561	6211230
1006	1	6327351	6328466	6342310	6328583	6345090	6326159	6336075	6356922	6345235	6350697	6330261	6346944
1006	10	6253384	6244581	6255676	6257446	6257411	6249539	6249359	6261821	6264266	6293811	6283276	6291697
1006	100	6137974	6119375	6124941	6114224	6122528	6094330	6110612	6087726	6091841	6214037	6218268	6199136
1006	1000	6051706	6034898	6051851	6036479	6034195	6008596	6031142	6012844	5998962	6167889	6175166	6153106
1007	1	6388216	6374239	6362346	6370171	6388006	6374462	6377240	6374447	6382792	6363613	6364686	6356528
1007	10	6288525	6277853	6283914	6271595	6302828	6279651	6291977	6281993	6299802	6334586	6321182	6327260
1007	100	6177619	6128122	6143408	6135131	6153593	6147904	6133571	6110545	6086375	6267824	6258161	6233383
1007	1000	6087825	6047149	6051333	6076709	6074886	6048990	6051637	6053777	6034185	6207249	6209331	6192412
1008	1	6391560	6386029	6379550	6392159	6383222	6390452	6376970	6365159	6399681	6370358	6401234	6389629
1008	10	6307091	6301512	6300307	6309784	6280984	6307910	6298487	6287553	6309075	6327102	6326001	6341177
1008	100	6171491	6160982	6166071	6152593	6147049	6147631	6125491	6124341	6100781	6272439	6244566	6257142
1008	1000	6080289	6096679	6091752	6090033	6058874	6076662	6061167	6036537	6044369	6225294	6199144	6198098
1009	1	6347299	6365002	6324765	6359197	6362989	6360637	6338376	6371199	6356066	6353942	6359535	6346912
1009	10	6264576	6269885	6245266	6277536	6280999	6271897	6269871	6286168	6272933	6316619	6306229	6276218
1009	100	6136739	6145408	6143016	6121765	6135567	6119605	6109562	6091898	6093549	6223420	6235425	6213063
1009	1000	6065423	6046469	6067996	6050235	6058474	6047887	6029252	6030513	6020643	6177124	6176680	6153486
