Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
23	10000	1493553	1483075	1479262	1499299	1480856	1489818	1472476	1530332	1522550	1517986
23	100000	1476330	1471569	1464111	1473523	1461229	1460209	1455727	1513367	1515694	1502851
23	1000000	1460856	1459608	1448699	1461673	1459404	1456377	1455635	1503178	1487400	1498724
23	10000000	1450974	1447914	1444607	1448796	1441792	1442409	1446679	1491072	1487483	1473249
24	100	1600313	1590380	1597607	1595355	1592771	1587579	1588904	1615841	1615252	1618397
24	1000	1570334	1561288	1557712	1565986	1567035	1571742	1566612	1598576	1590414	1594995
24	10000	1549567	1537213	1532732	1535159	1535510	1535704	1531665	1578519	1582180	1568233
24	100000	1527649	1517163	1509177	1517448	1520371	1519111	1515772	1568476	1563545	1551769
24	1000000	1512996	1508209	1504251	1515758	1513659	1509392	1506669	1553461	1545889	1550621
24	10000000	1504310	1499287	1497144	1500712	1497913	1500611	1493927	1546945	1535999	1535729
25	100	1521213	1516277	1504265	1524342	1513126	1508854	1515164	1536015	1537359	1541414
25	1000	1492998	1487065	1466071	1480774	1479741	1478989	1482999	1517882	1509929	1507067
25	10000	1460540	1446674	1456619	1464215	1455418	1456757	1445234	1493429	1500575	1496908
25	100000	1446082	1427391	1438935	1441181	1437018	1438127	1431991	1472925	1469526	1476461
25	1000000	1424246	1418534	1424745	1418102	1422048	1419224	1422776	1470374	1461019	1465766
25	10000000	1412591	1413284	1412233	1418686	1412755	1415652	1411165	1459826	1458352	1445795
26	100	1556037	1551499	1546779	1538528	1543114	1547606	1555391	1568711	1557313	1565903
26	1000	1521007	1519021	1513298	1521602	1520406	1511159	1511011	1539386	1543443	1544404
26	10000	1482654	1492943	1480692	1490290	1489889	1481189	1467406	1529525	1521577	1526477
26	100000	1468362	1462182	1462317	1469022	1466235	1456333	1462483	1519000	1504601	1491597
26	1000000	1459343	1444018	1453717	1454232	1458713	1452409	1449819	1502157	1489047	1489394
26	10000000	1447749	1444094	1440293	1443640	1444840	1444173	1441985	1492595	1480860	1480648
27	100	1559400	1557845	1564977	1565498	1568981	1569523	1543820	1568880	1569816	1568352
27	1000	1525674	1524287	1516706	1531411	1535533	1524436	1529160	1557474	1561644	1549344
27	10000	1500420	1495588	1489549	1502630	1495943	1507270	1490410	1536943	1533355	1525530
