MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6370625.00	6364282.67	6363924.78	6367928.00	6368919.89	6371795.67	6371295.67	6372473.44	6375001.56	6372549.89	6370094.44	6369278.33
10	6292405.56	6289215.44	6285517.78	6290250.78	6288306.56	6289966.56	6294659.44	6292764.56	6299380.78	6328305.00	6323972.44	6316867.11
100	6173892.67	6176389.22	6166818.89	6164907.11	6149535.56	6147104.89	6141706.89	6131824.56	6115983.00	6263298.33	6246017.00	6244167.78
1000	6103379.67	6092928.33	6091211.56	6089016.22	6075628.89	6074739.89	6057677.56	6047697.33	6043023.00	6207840.00	6189908.67	6191289.22

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	52345.50	50611.65	48421.20	53171.89	53013.95	47043.74	46284.21	43422.08	48525.98	51298.09	47721.72	49279.11
10	52212.57	49487.81	51760.78	49974.83	54341.17	49521.35	48500.11	43880.72	45976.24	43587.57	50456.90	49334.59
100	47974.58	43604.68	45059.73	50222.61	49460.33	41025.82	41929.81	50852.37	42884.28	40376.13	47490.05	49233.64
1000	45198.71	47784.73	42662.62	45159.84	49966.19	50304.97	44190.72	41749.19	47353.06	50858.22	42650.79	50325.02
