Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	6373745	6350753	6367822	6368485	6363935	6361545	6369149	6362554	6373408	6367566	6368520	6367179
1000	10	6267865	6287407	6285988	6299977	6300865	6288942	6296306	6294638	6304749	6324093	6320274	6330249
1000	100	6193038	6182768	6178905	6183988	6173126	6168831	6164587	6139843	6146798	6273516	6282388	6249676
1000	1000	6114931	6121786	6095430	6110980	6098647	6092120	6075523	6073580	6043515	6221240	6190427	6190390
1001	1	6277993	6283306	6288975	6278744	6282402	6293819	6275144	6297984	6283591	6275411	6257827	6286617
1001	10	6208595	6219186	6212635	6212324	6220095	6220708	6219688	6226226	6208561	6231381	6228441	6249373
1001	100	6111232	6106289	6113589	6106944	6100752	6081432	6082567	6078932	6040371	6189371	6191444	6183592
1001	1000	6027906	6026976	6020934	6024076	6016624	6002045	5992726	5984086	5971220	6127767	6137151	6127134
1002	1	6389787	6401508	6401961	6390376	6397948	6405247	6378339	6402130	6408541	6406270	6394364	6405305
1002	10	6310565	6333682	6330033	6323592	6319632	6330251	6311772	6333306	6339070	6372165	6357314	6358591
1002	100	6235804	6218440	6217186	6178540	6203601	6199755	6195901	6137499	6165222	6308999	6285455	6306124
1002	1000	6146383	6153472	6129319	6120638	6118261	6119222	6108299	6094747	6081385	6249290	6228884	6227180
1003	1	6318625	6315340	6325516	6324974	6309183	6325598	6319051	6328380	6328023	6331557	6327421	6336045
1003	10	6253975	6248397	6260675	6253864	6248824	6259438	6253061	6259173	6252883	6281926	6289952	6287219
1003	100	6167366	6132955	6156617	6137902	6129975	6123197	6103597	6110730	6099861	6228527	6220967	6234796
1003	1000	6067278	6047344	6056426	6058270	6047431	6030895	6054934	6028888	6008330	6177721	6160819	6166770
1004	1	6450326	6452097	6444519	6450047	6443098	6449181	6443486	6460588	6433513	6447671	6465414	6452542
1004	10	6380826	6383544	6367084	6385397	6393719	6383286	6367777	6379968	6380494	6402490	6417857	6407418
1004	100	6283542	6286268	6264293	6259515	6260506	6238867	6230795	6233969	6225130	6340236	6358051	6326485
1004	1000	6192200	6193505	6182280	6196702	6182397	6169186	6160905	6154097	6122259	6295915	6309436	6278918
1005	1	6403945	6411013	6413191	6392238	6413981	6408479	6419321	6396321	6410719	6399746	6412970	6400338
1005	10	6330864	6336834	6340389	6333030	6332204	6315949	6341633	6337052	6343004	6368695	6361836	6350823
1005	100	6238579	6229427	6232203	6215313	6210685	6200319	6187354	6178750	6187058	6314226	6302564	6305424
1005	1000	6147441	6145051	6120100	6131923	6120249	6121114	6113250	6092154	6105522	6260922	6242279	6231168
1006	1	6360743	6358611	6338367	6339109	6343261	6362554	6346958	6343805	6359439	6348106	6324543	6336837
1006	10	6287095	6284949	6277107	6280589	6286185	6280479	6273094	6277738	6286247	6305903	6297179	6311755
1006	100	6170770	6162627	6150988	6162349	6169077	6166685	6147052	6141393	6125101	6236695	6257445	6264095
1006	1000	6104645	6079194	6079562	6085568	6084012	6070331	6071677	6054159	6017473	6193676	6198553	6177317
1007	1	6367026	6382235	6376987	6373657	6362530	6378471	6383655	6382908	6385117	6377965	6372255	6386014
1007	10	6309351	6319296	6305618	6296430	6301381	6310722	6310670	6318064	6324240	6330308	6342376	6341833
1007	100	6200212	6210739	6197687	6195238	6173069	6177148	6169044	6176088	6148091	6298766	6280210	6275749
1007	1000	6124705	6132086	6129023	6099114	6107314	6098937	6072289	6060658	6048275	6246914	6205838	6212285
1008	1	6396274	6378026	6392798	6383546	6396011	6364128	6382526	6393340	6390311	6376226	6398156	6389302
1008	10	6318646	6317491	6317780	6322314	6327507	6304222	6319012	6333036	6315814	6358489	6357468	6345848
1008	100	6225179	6218340	6218888	6211316	6212246	6186449	6190106	6172343	6158599	6278761	6299727	6282797
1008	1000	6134999	6119349	6132245	6129346	6126908	6106693	6109707	6100225	6082159	6232591	6229082	6228011
1009	1	6364552	6363000	6358029	6371936	6368765	6366216	6350842	6362349	6349265	6360186	6345803	6363628
1009	10	6301561	6298202	6299590	6290881	6291972	6304353	6284325	6300311	6281577	6314000	6305980	6329567
1009	100	6203481	6192940	6187734	6158497	6176056	6175602	6170585	6133620	6142766	6271218	6267917	6266237
1009	1000	6118870	6094000	6114400	6101536	6088675	6093605	6071653	6081724	6052252	6216655	6207889	6196008
