MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6377078.11	6371439.78	6373299.78	6374669.33	6373741.56	6375367.00	6378840.44	6375567.00	6378543.78	6376444.78	6373026.22	6376240.78
10	6338789.00	6341126.89	6343458.33	6339547.44	6343451.67	6342276.89	6341351.22	6344110.56	6344676.00	6354481.67	6351108.67	6355327.89
100	6275600.11	6271768.11	6267836.11	6260433.89	6262640.33	6249575.78	6255177.89	6239096.56	6232764.33	6320336.56	6319212.67	6318683.56
1000	6197324.00	6189727.33	6178889.00	6171186.44	6176400.22	6161728.78	6149686.89	6144538.00	6128249.11	6266925.11	6257794.00	6257349.67

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	50049.11	53934.93	45743.61	47287.53	48708.47	50422.77	46666.15	46009.00	52163.88	47161.55	50862.29	52750.25
10	45263.33	48972.41	44743.52	48299.19	46106.32	42978.00	47733.60	45294.94	48681.11	46677.27	43270.01	50150.88
100	52901.24	44997.23	49764.51	45470.82	47885.21	42496.24	44710.06	50640.65	49667.93	46855.93	45728.96	51051.40
1000	50726.76	48175.07	47352.91	49411.07	45276.75	43431.96	44311.10	49039.55	46419.52	51329.70	42717.53	52575.91
