Instance	Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
15	1000000	7270	7505	8334	7614	7373	7698	9345	9322	4454	14224
15	10000000	7105	6893	7411	6842	6174	6948	9345	9322	4454	11818
16	100	31056	34725	31283	29186	33929	34367	31605	36468	32767	39542
16	1000	19605	17071	17379	18518	18551	18035	18172	15384	12683	28259
16	10000	12750	11544	10641	12997	11598	10042	10305	9659	5073	18658
16	100000	9108	7419	8028	8272	8711	7178	8629	7388	4000	14109
16	1000000	7038	6395	7657	6867	6782	6301	8629	7388	4000	12587
16	10000000	6038	5971	7016	5293	6675	6246	8629	7388	4000	10604
17	100	32701	31941	32350	31993	35828	31267	31397	30015	32438	37528
17	1000	21232	18510	18103	21543	19288	17920	17360	16080	13542	29840
17	10000	13896	11669	10392	12139	12707	10137	11139	8695	5555	18495
17	100000	8813	9072	8742	9851	8988	7890	8975	7587	4352	12469
17	1000000	7904	8122	7639	8162	6957	6525	8975	7587	4352	11643
17	10000000	7865	6280	6227	6520	5783	6525	8975	7587	4352	10167
18	100	34647	36513	34781	36993	35222	37117	33331	33874	34889	38548
18	1000	20325	21416	18267	20751	19461	18807	18828	18611	14162	30065
18	10000	12002	11533	10685	12214	11851	11203	11283	9748	5312	19199
18	100000	7588	8218	8734	9156	8713	8060	9052	7803	4013	12815
18	1000000	6940	7235	8204	7490	7586	7556	9052	7803	4013	11056
18	10000000	6437	6361	7727	6970	6979	7556	9052	7803	4013	9848
19	100	35219	33937	30352	30752	32426	36743	34526	32193	33106	35005
19	1000	21038	19259	18859	19592	19569	17569	18522	15990	14005	26422
19	10000	13270	11100	11730	11994	11384	11030	9465	9348	5683	18614
19	100000	9154	8081	8582	8654	7726	8399	8296	7571	3432	14518
19	1000000	7689	7242	7733	7923	6883	7651	8296	7571	3432	11211
19	10000000	7429	6458	6951	6900	6442	7124	8296	7571	3432	9491
20	100	29733	31425	35240	32508	34382	32191	30455	30953	33035	38270
20	1000	19248	21092	17187	20698	17234	18516	17603	15798	10318	28536
20	10000	12559	10549	9178	11848	12640	11515	10035	9735	5236	18382
20	100000	8467	8421	8320	9024	8538	8320	9003	6469	3840	13714
20	1000000	7972	7428	7118	6687	7762	7127	9003	6469	3840	10993
20	10000000	7123	7088	6658	6687	7005	7127	9003	6469	3840	10476
21	100	36754	37137	31834	36643	32483	32916	33686	34911	31053	40578
21	1000	23567	20646	19560	22112	21046	21713	18400	17196	15207	31833
21	10000	13812	12739	11962	12692	11993	11989	11501	10115	5113	19303
21	100000	10277	8790	9546	9448	10379	8487	9787	7891	4057	16239
21	1000000	7734	8309	8468	7562	7326	7376	9787	7891	4057	13015
21	10000000	6464	6866	7012	7104	6302	7003	9787	7891	4057	11920
22	100	33954	31532	32181	35506	33843	37907	31909	33188	34646	39946
22	1000	20577	18239	17761	19883	20981	16576	16438	16503	12267	28772
22	10000	13806	11245	10084	11639	10755	10854	11030	10142	5231	20044
22	100000	8726	7755	9243	9196	8556	8557	8972	7790	4117	15213
22	1000000	7169	7429	7529	7498	8118	7102	8972	7627	4117	12269
22	10000000	6939	6878	7472	6864	6960	6172	8972	7627	4117	10822
23	100	36797	33509	33481	31093	37392	32991	35607	36685	33703	40950
23	1000	21458	19852	17137	21565	21246	18942	16208	14085	12400	27951
23	10000	11772	12608	9921	12434	10949	10915	9906	9239	5355	20977
23	100000	10100	8462	7660	8613	8601	8054	9283	7468	3950	15072
23	1000000	7082	7040	7025	7517	6558	6476	9283	7468	3950	13028
23	10000000	5939	7040	7006	6255	6058	6278	9283	7468	3950	10840
24	100	35911	37741	36733	36402	34672	32716	33195	35190	36512	37915
24	1000	22093	21396	20086	19078	20299	20289	18093	16027	15313	27813
24	10000	13788	11820	11944	12245	12278	11817	11644	9243	5261	18982
24	100000	8937	9497	8791	8215	8783	8999	9328	8378	4158	15390
24	1000000	8172	7496	8397	7770	7606	7740	9328	8378	4158	13641
24	10000000	7251	7441	7165	7613	6715	7531	9328	8378	4158	11686
25	100	33705	34334	30802	31858	33169	32232	33952	32679	31149	41725
25	1000	19135	20531	17180	22255	18041	18529	18440	16591	11484	26031
25	10000	13848	11652	11293	13102	10980	9579	10451	9439	4983	17503
25	100000	8778	9214	9117	7961	8007	7673	8297	7571	3450	13660
25	1000000	7938	7225	7055	7011	6990	6740	8297	7571	3450	12477
25	10000000	6106	6447	6521	5924	5737	5683	8297	7571	3450	11951
26	100	33986	34683	33851	32613	32095	32904	30224	33494	32104	38269
26	1000	21611	19402	17857	20941	18009	18626	17658	17167	12956	29483
26	10000	12250	10422	10731	12697	11915	11826	10353	9274	5315	18319
26	100000	8747	7978	7981	8460	8468	7274	8208	7933	4152	14173
26	1000000	7095	7353	7252	7012	6740	6042	8208	7933	4152	11568
26	10000000	6312	6343	6527	6292	6740	5645	8208	7933	4152	9721
27	100	33977	33888	33765	31138	31530	31375	30959	34929	31964	40393
27	1000	21089	20484	17061	19530	18037	19419	17500	18042	14326	28529
27	10000	12650	11666	11130	11660	11290	10796	10935	8726	5742	19058
27	100000	9779	7369	8955	8311	8932	8398	9791	6992	3524	15902
27	1000000	7644	7265	7272	6824	7573	6502	9791	6992	3524	12942
27	10000000	6903	7265	6356	6241	6202	6239	9791	6992	3524	10884
28	100	34184	34273	36544	31891	36118	32298	34182	33333	32655	37588
28	1000	21351	20465	17871	22303	22662	19636	17820	17970	13594	27666
28	10000	13926	11848	10761	12414	11863	9695	9849	9410	5197	18423
28	100000	9424	9090	8884	9311	7889	7904	8880	7791	4230	14157
28	1000000	7842	7304	7297	7548	6887	7473	8880	7791	4230	12682
28	10000000	7573	6374	6630	7325	5952	6450	8880	7791	4230	10563
29	100	36729	34219	34666	34616	30741	34181	35374	34017	30734	39926
29	1000	21330	20908	17740	22039	21453	18261	16948	16933	13445	28408
29	10000	11589	13088	10778	13537	12646	11538	10587	10037	5265	21102
29	100000	8849	8776	9422	10012	8504	8411	9701	7959	4098	16034
29	1000000	7256	8323	8464	8441	7072	7297	9701	7959	4098	13960
29	10000000	6922	6825	7007	6682	5766	7114	9701	7959	4098	12753
30	100	34236	36225	35324	34355	33386	32895	34838	35986	34786	39725
30	1000	21720	20457	19360	19856	19008	19698	18031	17734	14889	30583
30	10000	13673	11975	12141	11852	12880	11053	9765	10088	5478	21863
