Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
15	1000000	10746	9441	8546	9169	8689	9423	7072	6256	3783	14124
15	10000000	8387	7214	7467	8465	8187	7216	7570	5811	3281	10734
16	100	34941	33859	38652	31337	36570	32611	34957	38217	30944	38025
16	1000	25745	25756	21527	25456	26944	21849	21809	18584	17558	32734
16	10000	15778	17017	13477	16935	15056	13888	14353	12349	8099	25735
16	100000	13102	10813	9080	11457	10309	10385	9450	7318	3972	19604
16	1000000	8909	7802	8205	8194	8593	8198	7459	6863	3205	11128
16	10000000	7711	7323	6892	7594	7362	6674	6742	5411	2921	10731
17	100	38316	34844	33711	36805	32701	33067	33912	33629	35571	40697
17	1000	28077	26048	25201	26699	24588	23565	25069	22511	17840	33570
17	10000	17549	14524	13254	17280	14703	14619	14461	11473	8177	23878
17	100000	11386	11241	10602	12642	11426	10697	9757	8534	4190	18407
17	1000000	9628	8154	7666	9773	8748	8586	7515	6422	3546	13695
17	10000000	7980	7074	6946	7660	6870	6707	6943	5697	3156	11508
18	100	37931	36396	39540	34748	36861	35390	36065	30631	33167	40843
18	1000	27097	22875	24811	23968	25265	27432	24917	22799	17332	34135
18	10000	17656	16583	15333	20580	18730	17113	14234	12263	8062	27943
18	100000	12441	9196	11389	12633	11658	10347	9001	8208	4813	16322
18	1000000	9423	8327	7533	10868	9768	8852	7862	6029	3512	12835
18	10000000	7896	7313	7046	7954	7288	7358	7323	5529	2861	10038
19	100	36609	37252	33870	35871	39619	37335	31363	36340	32390	40047
19	1000	26143	25070	22737	24286	26253	25711	26065	23235	20288	30748
19	10000	16376	16325	14019	16165	16316	16256	14370	12145	8872	23783
19	100000	13096	10003	10058	12454	10820	10452	9405	8336	4405	17369
19	1000000	9466	8946	8652	10322	8932	8971	6729	6547	3310	14498
19	10000000	7712	7390	7151	7565	7497	6953	7090	4912	2866	10024
20	100	37289	33973	31592	30420	34415	32372	39108	36633	37922	38189
20	1000	25759	24809	23879	26627	24794	25106	20973	17838	18595	31665
20	10000	17245	13663	12121	16627	15491	15128	13329	11401	7625	25740
20	100000	11661	9603	10080	12573	11063	10304	9097	7691	4604	17543
20	1000000	10219	8384	8005	9327	8700	8304	7779	6490	3369	15565
20	10000000	7498	7197	7133	7611	7498	7581	7001	4998	3055	11334
21	100	35110	36449	35975	34191	35215	35212	31236	37062	36022	39278
21	1000	28568	26114	22443	25183	24564	24320	27174	23611	20763	34671
21	10000	17283	15600	14845	18206	18048	15808	13817	12778	8384	26564
21	100000	13069	12006	10663	13179	11380	11035	9337	8604	4985	17176
21	1000000	9917	9306	9002	10349	9891	8739	8184	6787	3183	14401
21	10000000	8298	7339	7406	8410	8144	7996	7568	5467	3005	10316
22	100	40682	34533	35197	32894	36915	37920	36268	34587	35204	43618
22	1000	25068	26311	21708	24665	24224	23040	22810	22173	16697	30696
22	10000	17348	12310	13355	17118	16606	14526	13157	12284	7790	23048
22	100000	12192	11591	10780	11502	11993	10013	9896	8762	4394	17599
22	1000000	9808	8780	7732	9736	9222	8470	7915	6606	2916	14567
22	10000000	7807	7572	7318	6929	7767	7307	7049	5794	3047	10265
23	100	38369	41284	33289	36032	37253	33756	38452	35598	35611	39608
23	1000	25542	26187	22207	25155	23730	20862	21617	22213	19396	33934
23	10000	18873	14960	13462	18000	14826	16049	14559	11680	7926	24648
23	100000	12916	10852	10224	12070	11735	10404	10102	7893	4223	17073
23	1000000	9189	8421	8085	9167	8924	7366	7907	5706	3035	14299
23	10000000	7908	7004	6767	7576	7510	6979	6563	5375	2669	11004
24	100	38655	33534	36118	36297	37811	37275	38789	39150	36248	40662
24	1000	29411	26072	25086	25757	26853	25688	26850	21177	18957	35967
24	10000	17998	17456	12853	17326	16524	14995	13749	13093	8517	24826
24	100000	13525	11588	10451	12607	10945	9902	9791	6908	5050	18165
24	1000000	10310	9353	9280	10672	10443	9344	7893	7015	3820	14948
24	10000000	8375	7255	7257	8378	7688	7845	7271	5721	3094	10845
25	100	35356	34199	34854	33612	37200	32695	30643	33677	31750	41637
25	1000	26420	26783	22136	24074	23492	23391	24516	21780	19791	31881
25	10000	16051	15059	13817	16440	14130	13651	14045	11063	7048	22846
25	100000	11226	10525	9475	11612	11944	9945	8936	7669	4084	17980
25	1000000	9440	7970	7833	8487	8351	7576	8065	6218	3200	12781
25	10000000	7545	7095	6948	7237	6957	6604	6486	5374	2552	9925
26	100	37518	37098	33804	35056	36541	34707	38783	36160	36350	38531
26	1000	27474	24860	21021	25686	25768	25495	20869	21624	16603	32806
26	10000	17679	14705	14481	16452	16246	14309	13454	10995	7869	25214
26	100000	11825	11031	9829	12585	11892	9806	8727	8349	3801	17820
26	1000000	9522	8396	7978	8905	8366	8550	7633	7253	3253	13307
26	10000000	7649	7439	7349	7677	7346	6897	6962	5371	2974	9814
27	100	34672	38833	36027	34262	37021	37850	34244	35351	34378	40950
27	1000	25783	26406	21817	25148	26071	23555	22603	20995	20901	33797
27	10000	18624	15696	15500	17851	15806	14879	13604	11370	7318	24678
27	100000	11949	11019	9752	10576	11918	10106	8046	6884	4291	18450
27	1000000	9542	8935	7880	9424	8463	8515	7187	6384	3159	13964
27	10000000	7578	7269	7151	8293	7435	6736	6558	5433	2823	10197
28	100	40144	38921	36599	34196	36951	33018	35496	36596	35248	43875
28	1000	27564	23226	23097	27159	24061	26587	22572	22675	20336	34082
28	10000	17848	17232	15243	17747	15207	15678	13108	10751	7934	21910
28	100000	12646	11077	10092	12393	9838	10586	10220	9281	4162	17329
28	1000000	9209	8023	8233	8985	8323	8484	7021	6767	3108	12749
28	10000000	7658	7248	6680	7588	7452	6734	6880	5265	2637	10338
29	100	39143	37467	33881	39111	37064	34774	34263	36819	33825	41464
29	1000	29383	28016	23169	27179	26710	25821	24565	23005	20079	32237
29	10000	16967	16975	14454	16634	15995	15362	13617	12909	8064	22877
29	100000	13045	11099	11682	13051	10808	10920	10300	7639	4548	15640
29	1000000	9679	8303	8131	9943	8973	8104	8193	6958	3322	12119
29	10000000	8041	7563	7168	7886	7594	7444	5822	6065	3052	11214
30	100	36741	34782	34672	36929	37338	41330	39147	36244	30198	43429
30	1000	29798	29155	23948	29157	27916	24335	24037	20692	18954	35304
30	10000	17536	17453	14754	16433	17669	15227	12761	13223	8011	23667
30	100000	14107	10558	9984	12256	12253	12030	10116	7521	4230	17444
30	1000000	10250	8865	8305	8898	8585	9299	8000	6536	3625	15286
30	10000000	8487	7574	7133	7744	8343	7355	7713	5642	2779	10571
31	100	36862	34002	37202	32921	34548	32521	36981	36907	34450	40173
31	1000	28351	25218	23812	29647	25978	21954	22462	20117	19978	33533
31	10000	16839	15429	14321	18324	18148	14996	13971	12436	9270	24262
31	100000	14040	11082	10935	13694	11009	9866	9831	7590	4119	17502
31	1000000	10202	8350	8746	10402	9447	8513	8084	6598	3412	13179
31	10000000	8496	7077	7503	7694	7833	7750	7337	6124	3077	11955
32	100	34925	32298	35643	34886	35265	33335	35022	35476	36886	42018
32	1000	27213	25333	24437	26343	25523	24413	23711	20649	18842	31797
32	10000	16828	15047	13163	19840	15973	14542	12637	12068	8528	24574
32	100000	12443	11312	9385	12263	12469	10246	10273	8326	3820	18833
32	1000000	9979	7888	8753	8963	9221	9587	7811	6962	3336	14517
32	10000000	7729	7097	6817	8066	7735	7538	6980	5301	2791	11119
33	100	35662	35077	35215	35840	34832	35642	35998	34093	37041	41088
33	1000	27771	25906	24046	23656	25464	22990	23316	21992	17219	35956
33	10000	17176	15136	15102	17554	16641	15756	14572	12815	8377	24189
33	100000	12325	11651	10351	12350	11633	9456	10629	7978	3867	15946
33	1000000	9899	9438	7948	9560	8300	8763	7705	6172	3038	12504
33	10000000	7838	7870	7299	7208	6732	7057	7127	4946	2585	11536
34	100	39745	38338	34614	39661	37047	37585	35105	33541	29756	40601
34	1000	26746	25551	23535	25110	27493	24888	21228	21300	18768	36222
34	10000	19824	14502	16460	15624	16182	14644	13889	13286	7774	24770
34	100000	13489	10331	9923	11520	10095	11179	9601	8543	4585	18655
34	1000000	9358	7906	7626	9691	9802	8744	8639	6658	3284	14392
34	10000000	7751	7515	6944	7644	7718	7523	6889	5657	2697	11291
35	100	35665	35913	35477	35672	39384	34663	32781	35179	35125	40919
35	1000	27135	26321	24305	26952	24688	25126	24053	22201	21940	33731
35	10000	19676	15570	14511	17724	16017	17202	13948	12326	8907	28098
35	100000	12574	11967	10070	13044	11854	11678	10580	7947	4508	18351
35	1000000	10998	9465	9081	10051	9672	8713	7770	6907	4013	15116
35	10000000	8362	7713	7592	8550	8295	7856	7623	5792	3533	11048
36	100	38430	31078	31349	34268	33424	36234	34158	37937	30896	41338
