MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6376007.44	6378058.00	6376175.56	6378211.11	6375613.11	6373588.89	6378581.11	6377996.33	6373908.67	6372722.89	6374486.67	6371677.67
10	6332465.56	6332312.56	6330717.44	6328431.00	6331661.33	6331455.44	6331619.11	6331584.67	6334055.11	6346716.67	6352946.56	6344688.33
100	6257012.33	6257084.78	6246840.78	6239206.33	6240068.78	6230359.11	6225460.44	6214797.78	6210095.44	6307101.56	6310265.33	6314666.56
1000	6180680.11	6169101.22	6163563.00	6161796.44	6151891.44	6141855.78	6125445.00	6120354.89	6104417.78	6260304.22	6244855.00	6243811.67

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	44193.11	51123.35	49610.00	44734.40	47647.50	48575.03	49909.21	47246.98	45350.86	44514.10	43129.31	44996.51
10	42940.56	49800.07	48409.46	49885.93	47009.31	47950.42	46999.25	48425.65	44973.46	47415.01	48847.94	46652.40
100	47211.87	48723.33	50800.24	45842.27	48838.16	47012.24	49313.25	45730.28	44028.78	48513.52	50692.85	42554.53
1000	44647.96	46481.14	49073.33	40679.35	51798.43	45990.99	49126.61	45347.73	44850.65	48620.04	47970.34	41372.84
