MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6366836.22	6366251.67	6367180.78	6369514.00	6365707.78	6369012.11	6366928.67	6366615.78	6376467.56	6364431.22	6366673.00	6366133.33
10	6288584.22	6289894.78	6290860.67	6289836.00	6286390.11	6288786.67	6290671.89	6287448.22	6304616.33	6329942.22	6318164.89	6321829.33
100	6177748.56	6175786.67	6175350.44	6171746.78	6157897.33	6153703.33	6143409.89	6133884.44	6118024.11	6269169.67	6249173.78	6251693.56
1000	6097605.78	6095268.11	6085801.78	6084240.44	6085971.33	6072621.22	6061440.67	6052044.33	6040523.56	6210375.22	6190967.67	6189759.67

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	45349.25	48778.63	45912.81	47110.57	46954.83	43967.98	52804.65	51488.03	48340.35	43957.18	43722.55	45058.19
10	46207.89	46243.06	47145.78	43232.86	48631.37	44251.87	49776.48	53896.26	48878.70	41061.02	48589.49	46736.96
100	47545.24	48674.46	46816.68	47751.85	47323.90	42026.79	48808.60	46783.21	39346.62	51073.75	50920.42	54130.48
1000	43919.92	49332.02	43322.43	49524.27	39153.30	42660.04	47011.94	44384.03	44681.04	45428.13	47160.78	46870.77
