MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6369767.00	6369565.33	6370787.89	6367810.89	6370485.89	6373784.22	6366454.11	6370656.67	6373676.22	6372338.22	6374532.89	6369730.44
10	6300768.89	6297624.78	6301228.33	6301215.56	6297764.33	6297563.22	6296584.56	6301556.00	6309684.11	6329482.67	6330595.22	6327259.11
100	6201684.67	6196415.33	6192953.78	6186641.33	6181923.11	6171449.78	6161445.89	6153498.78	6139379.89	6279602.67	6278262.00	6264205.56
1000	6127968.00	6122412.67	6115477.33	6113681.22	6099670.44	6093397.44	6086012.00	6077906.56	6058370.11	6223187.56	6209408.00	6208165.78

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	44805.25	57471.71	48150.56	44489.05	48211.18	45282.20	48699.51	46980.62	50455.89	46461.26	46396.58	47163.34
10	43922.77	52987.22	47202.82	45035.68	47696.93	46067.54	49194.91	48410.83	51011.18	45570.16	48323.68	39965.60
100	46484.63	42066.48	47003.09	47304.57	44394.98	46133.00	46243.07	45817.54	48475.93	43856.59	50424.96	52160.13
1000	43807.96	46309.04	44939.16	48983.76	41827.91	47146.11	50042.88	39942.51	40093.49	52444.95	51666.57	44902.59
