MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6369753.78	6373134.11	6365073.56	6369828.00	6368880.00	6369377.33	6376655.56	6375039.22	6374416.78	6372194.56	6366915.56	6368506.67
10	6296612.33	6295004.11	6295437.67	6292248.89	6294869.11	6290492.00	6296275.22	6298489.11	6302359.33	6328018.33	6322315.11	6323956.33
100	6190770.78	6185764.67	6177855.33	6175747.67	6169996.00	6161527.44	6144143.22	6136277.89	6129886.78	6268534.67	6256678.78	6264732.33
1000	6109224.89	6106725.11	6106058.56	6095907.22	6094037.00	6085668.89	6070044.78	6061852.33	6046876.67	6220596.56	6199278.33	6194735.22

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	48520.32	48838.36	45964.15	52971.27	45139.63	47679.88	47544.55	45474.26	45245.87	48183.33	47896.03	40443.87
10	47688.99	43951.79	49236.92	47273.42	47131.61	50548.76	46963.44	45687.95	47151.38	47182.58	44435.87	47374.32
100	48017.21	48900.09	48328.19	49104.45	51553.63	45024.77	43711.97	41714.31	50665.77	47360.11	47856.68	47956.56
1000	43651.40	55306.32	43124.49	47119.54	51955.96	47816.88	46909.99	45584.58	45245.21	46434.55	53230.95	56264.43
