Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
21	100000	30	20	24	27	22	24	18	40	37	42
21	1000000	22	19	15	11	16	16	11	39	35	33
21	10000000	15	18	16	14	9	11	13	34	30	33
22	100	58	58	52	60	57	62	59	63	64	63
22	1000	52	53	45	50	47	45	46	56	57	57
22	10000	42	37	34	40	35	33	30	44	44	49
22	100000	32	28	22	26	28	25	19	45	39	43
22	1000000	19	16	16	17	13	18	15	41	32	38
22	10000000	14	16	13	13	10	14	13	32	32	33
23	100	60	57	57	60	61	58	60	64	64	62
23	1000	54	52	45	47	48	47	47	58	56	58
23	10000	39	37	32	37	40	35	28	45	44	48
23	100000	29	23	26	32	28	18	23	44	38	41
23	1000000	20	18	21	20	13	20	15	36	36	35
23	10000000	14	11	12	17	13	13	10	34	31	31
24	100	60	61	59	56	60	56	53	61	61	61
24	1000	52	45	53	49	49	46	45	59	53	52
24	10000	39	35	32	37	35	37	32	50	45	49
24	100000	28	30	19	28	25	21	24	43	34	44
24	1000000	24	18	12	23	21	13	17	37	31	40
24	10000000	16	0	8	9	14	10	13	37	34	29
25	100	61	56	58	61	60	60	58	62	63	61
25	1000	49	49	46	47	51	48	50	57	58	60
25	10000	39	36	34	41	34	36	34	46	40	50
25	100000	24	22	21	28	27	21	19	38	38	44
25	1000000	16	20	19	21	17	22	21	42	37	36
25	10000000	13	15	12	15	14	14	13	32	31	32
26	100	61	58	56	55	57	60	56	64	62	61
26	1000	53	46	47	49	45	49	43	57	56	54
26	10000	39	36	33	39	37	33	34	44	47	51
26	100000	26	23	19	27	24	27	20	37	42	39
26	1000000	19	19	22	15	19	15	16	36	34	37
26	10000000	13	7	12	14	14	10	8	35	31	31
27	100	58	55	58	61	58	59	56	58	62	61
27	1000	52	46	44	49	51	48	45	54	57	57
27	10000	40	37	38	37	37	34	32	47	47	48
27	100000	29	28	17	24	29	18	22	44	37	39
27	1000000	23	17	17	23	16	17	14	39	32	38
27	10000000	11	10	9	10	13	13	11	34	32	32
28	100	57	59	58	56	57	54	60	63	63	59
28	1000	54	48	47	47	45	51	44	58	55	56
28	10000	40	30	33	39	37	37	34	43	48	49
