MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6369160.78	6363820.22	6368967.33	6366996.89	6364501.33	6369522.44	6368434.11	6366138.11	6369292.44	6370800.44	6361859.00	6365132.67
10	6287823.44	6284053.00	6287471.22	6284516.33	6286358.78	6281478.56	6286919.33	6287623.00	6289600.67	6327392.44	6319433.22	6318017.44
100	6164628.11	6169106.22	6166317.89	6156830.67	6153753.00	6145996.33	6134098.00	6122372.00	6112401.11	6262260.56	6245428.22	6245238.67
1000	6093134.67	6089019.56	6081261.44	6075703.78	6074437.22	6070138.67	6055535.00	6044640.22	6040692.00	6206675.33	6183414.56	6194885.89

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	46216.31	43162.01	48547.77	48538.73	46332.27	49689.71	48138.93	53238.36	46612.97	48703.36	48667.77	54803.93
10	47197.56	48438.70	47761.62	51453.18	42642.68	49995.88	48786.19	52397.52	49813.57	45783.93	42748.91	44719.56
100	52505.16	47620.90	51890.95	51368.96	43589.55	44097.23	47981.58	50844.11	50121.99	45727.39	49180.95	50782.95
1000	49564.62	49103.15	44766.24	52224.74	45103.01	53470.03	47155.56	46634.19	36917.74	40419.86	47561.27	47321.01
