Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
39	1	6368395	6365601	6365325	6373270	6371195	6367570	6369533	6369862	6366871	6370131	6373201	6363845
39	10	6272098	6267628	6275463	6283815	6273330	6266116	6275836	6275597	6286596	6311285	6315380	6307228
39	100	6140770	6152457	6135166	6145426	6133961	6117821	6105468	6120292	6091840	6262545	6225104	6218707
39	1000	6035626	6063017	6056981	6058896	6042321	6056435	6033020	6029982	6029984	6216680	6187350	6169585
39	10000	6020777	6022675	6020299	6023306	6022277	6013628	5990329	6029200	6017920	6186299	6161490	6145383
40	1	6295382	6304533	6315853	6309215	6307007	6289377	6296918	6288522	6314467	6310978	6315368	6310796
40	10	6207087	6221348	6233129	6210834	6219441	6200819	6208860	6202007	6233179	6259449	6244776	6246287
40	100	6091231	6085223	6089276	6065680	6066493	6076108	6050775	6040238	6030024	6178990	6157497	6168285
40	1000	5995838	5985257	6016149	5997137	5985423	6012019	5975887	5969096	5947999	6149880	6113828	6101810
40	10000	5960074	5944131	5973728	5938657	5948575	5978754	5936326	5934901	5936394	6118959	6087244	6079554
41	1	6364669	6365998	6356973	6368806	6360925	6361860	6375782	6370453	6363322	6357458	6369782	6367123
41	10	6253845	6284638	6265056	6291408	6271941	6284553	6280479	6270218	6283582	6309638	6325606	6289456
41	100	6135300	6154710	6131502	6127787	6132319	6110220	6110523	6105402	6090751	6264744	6218839	6199981
41	1000	6067785	6051261	6070059	6042018	6064560	6038192	6024596	6037216	6017855	6199453	6180180	6145639
41	10000	6025244	6010104	6015920	6020014	6037339	6020379	6003651	6012318	5998783	6186090	6170871	6132859
42	1	6433702	6420415	6416941	6415782	6427183	6407852	6404677	6422552	6421487	6432812	6407063	6424420
42	10	6332288	6338925	6321404	6315188	6324772	6328955	6325798	6334140	6328183	6383432	6351227	6369317
42	100	6201826	6188438	6188484	6178093	6183918	6171916	6162713	6156742	6139128	6331823	6279792	6284495
42	1000	6118557	6114946	6092541	6106570	6098169	6082860	6076341	6075664	6079412	6270428	6231461	6235394
42	10000	6058226	6078381	6051757	6072481	6056168	6066901	6052067	6054087	6042439	6234915	6203697	6207345
43	1	6358525	6362173	6370684	6371563	6347965	6368305	6366770	6371998	6367458	6373501	6377776	6357825
43	10	6276951	6265528	6280158	6281363	6271339	6268651	6273933	6278427	6295676	6333853	6323745	6294786
43	100	6153160	6155433	6143850	6148861	6134901	6128030	6111523	6097977	6096845	6249228	6245604	6212289
43	1000	6057914	6068612	6058276	6062549	6062361	6055472	6019933	6039343	6047806	6208823	6194625	6178156
43	10000	6006818	6027131	6042246	6018202	6043769	6044869	6013410	6013261	6017300	6203497	6189931	6164725
44	1	6317866	6291439	6314170	6306463	6294661	6314359	6294157	6317772	6322215	6306237	6305877	6304051
44	10	6225611	6198125	6212611	6212251	6206437	6220009	6197425	6217714	6235721	6261840	6256750	6248549
44	100	6082978	6077950	6091640	6066948	6060681	6079985	6065314	6051028	6040659	6206023	6173213	6182065
44	1000	6015073	5985145	5996450	5985531	6003972	5986818	5973559	5985506	5971003	6150768	6119843	6118274
44	10000	5980580	5974229	5960734	5945701	5963958	5960062	5968379	5947123	5944051	6122681	6109704	6091689
45	1	6392852	6388586	6395016	6385616	6391868	6388056	6400343	6393261	6396852	6399707	6406440	6394381
45	10	6297754	6299071	6296656	6295413	6298590	6292051	6303632	6301958	6316178	6342100	6335177	6320183
45	100	6171909	6159022	6170427	6153268	6145011	6137288	6142410	6118334	6098856	6284230	6256969	6239771
45	1000	6080690	6078016	6082408	6063799	6073522	6065205	6047899	6059066	6049940	6225419	6192926	6188405
45	10000	6043573	6015926	6029485	6029064	6045289	6043545	6030591	6034080	6025120	6200451	6183101	6150589
46	1	6327840	6335351	6324251	6340078	6333298	6332601	6320464	6326502	6339314	6334990	6330937	6337482
46	10	6250864	6224293	6220012	6234243	6233162	6229137	6213992	6243333	6245546	6277576	6277604	6285204
46	100	6109554	6095113	6097713	6087076	6081927	6090345	6069038	6084873	6069848	6216893	6186560	6190348
46	1000	6028916	6011510	6016056	6010020	6001095	6011444	5982986	5983616	5984232	6181997	6157293	6145741
46	10000	5982583	5977280	5979011	5974791	5962569	5981775	5974789	5957020	5974736	6142796	6121336	6114974
47	1	6459919	6451837	6462240	6469154	6449849	6466937	6457475	6455456	6468619	6469990	6458840	6449224
47	10	6357412	6379265	6377826	6372025	6368533	6368760	6368407	6355262	6376930	6436919	6396265	6387749
47	100	6238908	6243857	6251255	6214502	6214817	6216072	6203621	6196545	6184080	6341589	6310911	6298200
47	1000	6146221	6139551	6150437	6146538	6138722	6116064	6130349	6118250	6129108	6307794	6285898	6265480
47	10000	6107157	6117983	6106256	6103449	6114127	6102500	6086543	6083772	6125020	6287841	6258351	6240172
48	1	6377975	6368483	6362762	6372924	6357392	6379762	6361591	6378601	6379043	6360047	6381046	6379861
48	10	6262522	6289829	6262058	6277316	6257766	6286058	6270124	6287966	6299548	6324183	6322144	6325616
48	100	6148573	6137360	6137373	6144968	6126512	6149887	6116615	6123100	6117102	6284579	6254542	6227266
48	1000	6076652	6063520	6061290	6057505	6062258	6043732	6047768	6046542	6046020	6220978	6191905	6171818
48	10000	6043029	6031091	6022555	6028544	6043502	6022111	6032415	6022925	6016991	6184471	6174351	6137055
49	1	6386894	6385351	6387316	6393279	6399195	6409827	6389414	6401254	6401248	6401772	6398504	6403425
49	10	6304361	6303991	6296052	6311252	6299960	6312441	6303680	6323318	6326220	6353168	6344913	6347486
49	100	6181147	6177344	6173370	6178014	6157985	6154190	6149621	6144138	6125194	6309537	6244025	6257901
49	1000	6100126	6089764	6086223	6107005	6096660	6074266	6075934	6069312	6073092	6236907	6212378	6201384
49	10000	6058340	6057955	6051291	6065176	6058295	6049529	6047154	6037064	6046117	6208958	6188826	6187929
50	1	6322643	6316696	6325145	6328470	6325199	6310224	6329651	6321004	6335399	6324086	6314177	6322298
50	10	6243677	6238954	6232152	6227446	6233552	6223923	6242385	6226026	6250386	6259265	6268641	6262789
50	100	6088941	6108059	6084592	6110030	6099455	6098987	6059608	6055070	6052918	6217568	6197806	6151611
50	1000	6009685	6004897	6002437	6013350	6010863	5999833	5988080	6005805	5997689	6166157	6141543	6101754
50	10000	5986504	5985552	5980078	5987698	5974618	5970831	5971467	5955635	5952262	6150660	6127023	6091134
51	1	6335498	6344532	6326071	6327915	6352629	6331815	6333880	6333171	6348168	6346936	6342565	6332933
51	10	6232950	6250745	6236154	6232457	6258597	6249230	6247287	6249255	6253559	6290260	6283296	6267859
51	100	6128574	6107086	6114498	6098050	6096189	6096822	6088410	6069519	6066894	6239832	6191665	6206326
51	1000	6041009	6037231	6036946	6032462	6001484	6008268	5989356	5999370	5990073	6164786	6152758	6155015
51	10000	5990344	5987323	5994462	5972403	5985314	5957326	5978286	5981888	5984284	6141830	6123363	6131787
52	1	6395506	6390868	6384267	6407507	6408385	6406586	6391007	6385527	6398147	6392024	6388581	6395652
52	10	6302109	6317062	6290801	6307552	6314383	6298294	6306989	6309034	6311914	6359121	6325827	6337595
52	100	6177552	6193439	6161647	6160238	6158348	6156662	6140795	6139595	6131392	6310995	6264399	6262738
52	1000	6099601	6079590	6073293	6068430	6063775	6057814	6066552	6063383	6070972	6237869	6233469	6213533
52	10000	6046583	6019288	6055469	6043945	6026034	6030554	6042376	6061876	6042546	6211430	6197509	6183193
53	1	6383007	6386607	6390089	6378424	6385011	6370237	6390340	6395534	6389012	6394808	6394331	6380402
53	10	6298876	6304647	6303791	6275439	6294283	6289345	6301034	6302019	6311607	6334703	6344694	6334937
53	100	6158739	6147306	6154339	6152576	6149692	6131238	6147130	6139069	6112361	6274753	6239836	6230512
53	1000	6069927	6083251	6074859	6047901	6057671	6051081	6067094	6062946	6031764	6227183	6185182	6178789
53	10000	6026952	6053230	6036260	6020155	6023555	6040872	6028575	6052573	6023631	6200714	6172649	6167939
54	1	6414151	6384053	6408607	6409502	6411732	6416158	6407969	6390370	6405564	6418423	6409477	6411673
54	10	6318933	6317616	6301180	6314436	6316792	6331048	6318821	6309727	6326151	6354491	6335957	6355374
54	100	6172206	6179136	6173063	6173350	6161636	6172397	6144461	6139112	6137807	6273323	6282371	6250387
54	1000	6098023	6086036	6081406	6072362	6076200	6065208	6077390	6058747	6046959	6245094	6242385	6204821
54	10000	6070378	6060042	6038418	6033357	6058224	6040071	6048577	6041208	6046959	6211971	6220651	6183097
55	1	6360534	6349720	6353589	6360162	6344613	6345938	6350382	6356423	6345678	6345767	6364536	6343252
55	10	6255241	6258639	6256579	6259864	6245245	6265981	6258629	6264127	6264635	6284657	6307855	6305171
55	100	6108895	6110826	6125547	6115229	6095313	6094885	6094821	6087917	6094912	6220057	6218808	6219853
55	1000	6031633	6022699	6040644	6038385	6018793	6016017	6004707	5997414	6015026	6161876	6160868	6164796
