MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6365405.00	6366803.78	6368638.33	6371074.22	6366466.11	6369390.78	6368666.33	6370908.11	6366255.22	6365932.78	6369450.11	6367483.33
10	6285721.44	6286842.33	6289686.78	6290657.56	6286448.89	6289716.78	6291894.00	6291956.22	6294004.78	6323453.00	6316735.33	6314676.00
100	6175618.56	6174171.67	6171353.22	6164285.33	6157454.89	6154717.33	6144857.33	6131219.33	6117634.78	6257094.44	6246227.67	6246639.22
1000	6098116.44	6092319.56	6083804.22	6079303.11	6070240.00	6070976.22	6062943.44	6050679.22	6041856.33	6207886.78	6190984.89	6189886.00

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	45530.23	51149.90	49624.19	48752.73	44425.47	50592.51	44646.70	48516.31	46018.21	46955.11	46434.67	47116.84
10	44588.23	45040.23	47264.62	49182.43	45878.59	50947.81	50255.86	48144.49	47042.80	47652.70	45218.56	51106.85
100	49925.20	44268.90	42462.82	44111.37	43587.29	47840.86	49915.85	46355.21	46632.65	48503.97	55524.81	50538.72
1000	45138.45	51816.03	44621.78	51228.97	50673.25	47149.06	54042.52	45916.19	45502.14	45395.51	50493.34	52137.73
