Instance	Generations	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	1	74	73	73	74	73	73	73	73
1	10	73	73	72	73	72	73	72	73
1	100	72	72	71	72	71	72	71	72
1	1000	71	71	71	71	70	71	71	72
1	10000	71	70	70	70	70	70	70	71
2	1	73	74	73	73	73	73	73	73
2	10	73	73	73	73	73	73	73	73
2	100	72	71	71	72	71	71	71	72
2	1000	71	71	71	71	71	71	71	72
2	10000	71	71	71	71	70	70	70	71
3	1	73	73	73	73	73	73	73	73
3	10	72	72	72	73	73	72	72	73
3	100	72	72	71	71	71	71	71	72
3	1000	70	70	71	71	71	70	70	72
3	10000	70	70	70	71	70	70	70	71
4	1	73	74	73	73	73	74	73	73
4	10	73	73	72	73	73	73	72	73
4	100	72	72	71	72	72	72	72	72
4	1000	72	71	71	71	71	70	70	72
4	10000	70	71	71	70	71	70	70	71
5	1	73	73	73	73	73	73	73	73
5	10	73	72	73	72	72	72	72	72
5	100	71	71	72	72	70	71	71	72
5	1000	71	71	71	71	70	70	70	71
5	10000	71	71	70	70	70	70	70	71
6	1	73	73	73	73	72	73	74	73
6	10	72	73	72	72	72	73	72	73
6	100	72	71	71	72	71	71	71	72
6	1000	71	71	71	71	71	71	71	72
6	10000	71	71	71	71	70	71	70	71
7	1	73	73	73	74	74	73	73	74
7	10	73	72	73	73	73	71	72	72
7	100	72	72	72	72	72	71	71	71
7	1000	71	71	70	71	71	71	70	71
7	10000	71	71	70	71	70	70	70	71
8	1	73	73	73	73	73	73	73	73
8	10	73	72	73	73	73	72	73	72
8	100	72	71	71	72	71	71	72	72
8	1000	71	71	71	71	70	70	71	71
8	10000	70	70	71	71	70	70	70	71
9	1	73	73	73	73	73	73	73	73
9	10	73	73	72	73	73	72	72	73
9	100	72	71	72	71	71	71	71	72
9	1000	71	71	71	71	70	71	71	72
9	10000	71	70	70	70	70	70	70	71
10	1	73	73	73	72	73	73	73	73
10	10	73	73	73	72	73	73	72	72
10	100	71	72	71	71	72	71	71	72
10	1000	71	71	71	71	71	70	71	72
10	10000	71	71	71	71	70	70	70	71
11	1	74	73	74	73	73	73	73	73
11	10	73	73	73	73	73	73	73	72
11	100	72	71	72	71	72	71	71	72
11	1000	71	71	71	71	71	71	71	72
11	10000	71	70	71	71	70	70	71	72
12	1	73	74	73	73	73	73	73	73
12	10	73	73	72	73	72	73	73	72
12	100	72	72	71	71	71	71	71	72
12	1000	71	71	71	71	70	70	71	72
12	10000	71	70	71	70	70	70	70	71
13	1	73	72	73	73	73	73	73	74
13	10	73	72	73	73	73	73	73	72
13	100	72	71	71	72	71	71	71	72
13	1000	71	71	71	71	70	71	71	72
13	10000	71	71	70	70	70	70	70	71
14	1	73	73	73	73	74	73	73	73
14	10	73	73	72	72	73	72	72	73
14	100	71	72	71	71	72	71	72	72
14	1000	71	70	71	71	71	70	70	72
14	10000	70	70	71	70	70	70	70	71
15	1	73	73	73	73	73	73	73	73
15	10	72	72	73	73	72	73	72	72
15	100	72	71	72	71	71	71	71	72
15	1000	71	71	71	71	70	71	71	72
15	10000	71	71	71	71	70	70	70	71
16	1	73	74	73	73	73	73	74	73
16	10	73	73	72	72	73	72	73	73
16	100	72	72	72	72	71	72	72	72
16	1000	71	71	71	71	71	70	70	72
16	10000	71	71	71	71	70	70	70	71
17	1	73	73	73	73	73	73	73	73
17	10	72	73	73	73	72	73	73	73
17	100	72	71	71	72	71	71	72	72
17	1000	71	71	71	70	71	70	71	71
17	10000	71	71	71	70	70	70	71	71
18	1	73	74	73	73	73	73	73	73
18	10	73	72	73	72	72	72	72	73
18	100	71	71	71	71	71	71	71	72
18	1000	71	71	71	71	71	71	71	71
18	10000	71	70	70	70	70	70	70	70
19	1	73	73	73	73	73	73	73	73
19	10	72	72	72	72	72	72	73	73
19	100	71	71	71	71	71	71	72	72
19	1000	71	71	71	71	70	71	71	72
19	10000	71	71	70	71	70	70	70	71
20	1	73	73	73	73	74	73	73	73
20	10	73	72	73	72	73	72	73	73
20	100	71	72	72	72	71	72	71	72
20	1000	71	71	70	71	71	71	71	71
20	10000	70	71	70	70	71	71	70	71
21	1	73	73	73	74	73	73	73	73
21	10	73	73	73	72	72	72	73	73
21	100	72	71	72	72	72	71	71	72
21	1000	71	70	71	71	71	71	71	72
21	10000	71	70	70	71	71	70	70	72
22	1	73	73	73	73	73	74	73	73
22	10	73	72	73	73	73	72	73	73
22	100	72	72	72	72	71	72	71	72
22	1000	71	70	71	71	71	71	71	71
22	10000	71	70	71	71	70	70	70	71
23	1	74	73	73	73	73	73	74	73
23	10	73	72	73	72	73	73	73	73
23	100	72	71	72	72	72	72	72	72
23	1000	71	71	71	71	71	71	71	72
23	10000	70	71	70	71	71	70	71	71
24	1	73	74	74	74	73	73	74	73
24	10	73	73	73	73	72	73	73	73
24	100	72	72	72	71	72	72	72	71
24	1000	71	72	71	70	71	71	71	71
24	10000	71	71	71	70	71	71	71	71
25	1	74	73	73	73	73	73	73	73
25	10	73	73	73	72	73	73	73	73
25	100	72	71	72	71	71	71	72	72
25	1000	71	71	71	71	71	71	71	72
25	10000	71	71	70	71	71	70	70	71
26	1	73	73	74	74	73	73	73	73
26	10	73	73	74	72	73	72	73	73
26	100	72	71	72	72	71	72	72	72
26	1000	71	71	71	71	70	71	71	72
26	10000	71	71	71	71	70	71	70	71
27	1	73	73	73	73	73	73	73	73
27	10	73	73	72	72	72	72	72	73
27	100	71	72	71	71	71	71	72	72
27	1000	71	71	71	71	70	70	70	72
27	10000	71	70	70	70	70	70	70	70
28	1	73	73	73	73	73	73	73	73
28	10	73	72	72	72	72	73	73	72
28	100	71	72	71	71	72	71	72	72
28	1000	71	71	71	71	71	71	70	72
28	10000	70	71	71	71	71	70	70	71
29	1	73	73	73	73	73	72	73	73
29	10	72	72	72	73	73	72	72	73
29	100	71	71	71	71	71	71	71	72
29	1000	70	71	71	71	71	70	71	72
29	10000	70	71	71	70	70	70	70	71
30	1	73	73	73	73	72	73	73	73
30	10	73	73	73	72	72	73	73	73
30	100	72	72	72	71	72	71	71	72
30	1000	71	71	71	71	70	71	71	72
30	10000	71	71	70	71	70	70	70	71
