Instance	Evaluations	Cycle(0.5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
24	10000000	0	0	0	0	219	212	211
25	100	269	275	250	257	277	279	272
25	1000	244	236	241	232	268	268	271
25	10000	211	214	205	202	255	242	240
25	100000	193	202	194	190	232	224	216
25	1000000	184	185	185	0	230	225	219
25	10000000	0	0	0	0	218	215	211
26	100	260	277	270	258	276	283	273
26	1000	238	236	241	235	263	251	250
26	10000	210	210	212	204	250	237	239
26	100000	202	197	187	188	234	228	229
26	1000000	190	183	180	184	229	226	214
26	10000000	0	0	0	0	219	216	206
27	100	270	270	260	259	273	282	277
27	1000	229	250	237	232	267	270	265
27	10000	214	215	209	204	249	249	247
27	100000	192	199	191	193	240	230	232
27	1000000	186	179	189	182	230	218	214
27	10000000	0	182	0	0	219	215	205
28	100	275	265	270	257	275	275	281
28	1000	239	248	235	232	268	268	264
28	10000	204	214	208	201	247	242	239
28	100000	194	197	198	187	238	230	231
28	1000000	185	186	183	177	225	215	219
28	10000000	0	176	0	180	219	213	206
29	100	261	266	273	261	278	270	277
29	1000	243	230	240	238	260	257	258
29	10000	203	206	215	204	249	246	248
29	100000	194	197	192	189	240	235	239
29	1000000	185	186	187	0	226	223	219
29	10000000	0	0	0	0	221	217	212
30	100	265	264	268	262	276	279	285
30	1000	229	240	241	231	267	254	258
30	10000	213	218	210	204	251	238	247
30	100000	186	200	196	195	237	230	230
30	1000000	187	190	185	182	227	227	220
30	10000000	0	0	0	0	220	211	209
31	100	250	259	270	271	271	278	283
31	1000	249	241	241	223	264	259	259
31	10000	218	208	206	203	238	245	247
31	100000	194	198	193	188	237	231	218
31	1000000	181	187	186	186	231	223	226
31	10000000	0	0	0	0	223	214	213
32	100	252	267	272	271	280	278	273
32	1000	234	253	239	233	266	267	261
32	10000	212	216	208	203	243	245	233
32	100000	35	191	191	192	244	223	226
32	1000000	176	36	181	176	229	222	222
32	10000000	0	0	0	0	220	218	211
33	100	267	270	267	264	275	276	282
33	1000	232	232	229	228	266	263	267
33	10000	209	211	209	202	250	254	238
33	100000	192	191	192	193	222	236	230
33	1000000	182	24	17	179	221	217	218
33	10000000	0	0	0	0	221	208	202
34	100	262	265	265	258	282	283	278
34	1000	241	235	234	240	259	266	263
34	10000	207	213	211	206	256	242	242
34	100000	191	204	194	194	236	227	225
34	1000000	0	0	187	0	230	224	214
34	10000000	0	0	0	0	215	214	208
35	100	258	260	264	268	279	280	275
35	1000	237	233	233	227	265	267	271
